测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
1,B01(后),22.68,22.68,1.6946,1.6944,0.0002,,500,K7至K2,0.84095
,P01(前),22.54,22.54,1.2639,1.2639,0,0.4306,500.4306,,
,,0.14,0.14,0.4307,0.4305,0.0002,,,,
2,P01(后),40.09,40.09,1.34,1.34,0,,500.4306,,
,P02(前),40.2,40.2,1.3386,1.3383,0.0003,0.00155,500.43215,,
,,-0.11,0.03,0.0014,0.0017,-0.0003,,,,
3,P02(后),37.5,37.5,1.499,1.4991,-0.0001,,500.43215,,
,P03(前),37.6,37.6,1.3721,1.3719,0.0002,0.12705,500.5592,,
,,-0.1,-0.07,0.1269,0.1272,-0.0003,,,,
4,P03(后),22.23,22.23,1.651,1.651,0,,500.5592,,
,P04(前),21.96,21.95,1.4645,1.4644,0.0001,0.18655,500.74575,,
,,0.275,0.205,0.1865,0.1866,-0.0001,,,,
5,P04(后),19.478,19.471,1.6538,1.6538,0,,500.74575,,
,P05(前),19.791,19.789,1.4572,1.4575,-0.0003,0.19645,500.9422,,
,,-0.316,-0.111,0.1966,0.1963,0.0003,,,,
6,P05(后),39.16,39.16,1.2971,1.2973,-0.0002,,500.9422,,
,P06(前),39.31,39.31,1.3363,1.3365,-0.0002,-0.0392,500.903,,
,,-0.15,-0.261,-0.0392,-0.0392,0,,,,
7,P06(后),49.19,49.2,1.2105,1.211,-0.0005,,500.903,,
,P07(前),49.97,49.98,1.5369,1.537,-0.0001,-0.3262,500.5768,,
,,-0.78,-1.041,-0.3264,-0.326,-0.0004,,,,
8,P07(后),31.37,31.37,1.5942,1.594,0.0002,,500.5768,,
,P08(前),31.05,31.05,1.3301,1.3298,0.0003,0.26415,500.84095,,
,,0.32,-0.721,0.2641,0.2642,-0.0001,,,,
9,P08(后),33.64,33.64,1.1918,1.1915,0.0003,,500.84095,K2至K1,-1.04685
,P09(前),33.34,33.34,1.6868,1.687,-0.0002,-0.49525,500.3457,,
,,0.3,-0.421,-0.495,-0.4955,0.0005,,,,
10,P09(后),42.41,42.41,1.2766,1.2769,-0.0003,,500.3457,,
,P10(前),42.24,42.25,1.6428,1.643,-0.0002,-0.36615,499.97955,,
,,0.165,-0.256,-0.3662,-0.3661,-0.0001,,,,
11,P10(后),43.36,43.36,1.9178,1.9175,0.0003,,499.97955,,
,P11(前),43.25,43.24,1.5025,1.5025,0,0.41515,500.3947,,
,,0.115,-0.141,0.4153,0.415,0.0003,,,,
12,P11(后),42.83,42.83,1.477,1.4772,-0.0002,,500.3947,,
,P12(前),42.97,42.98,1.8563,1.8564,-0.0001,-0.37925,500.01545,,
,,-0.145,-0.286,-0.3793,-0.3792,-0.0001,,,,
13,P12(后),30.43,30.43,1.362,1.3616,0.0004,,500.01545,,
,P13(前),30.71,30.71,1.5218,1.5217,0.0001,-0.15995,499.8555,,
,,-0.28,-0.566,-0.1598,-0.1601,0.0003,,,,
14,P13(后),23.38,23.38,1.4341,1.4341,0,,499.8555,,
,P14(前),22.94,22.95,1.4954,1.4956,-0.0002,-0.0614,499.7941,,
,,0.435,-0.131,-0.0613,-0.0615,0.0002,,,,
15,P14(后),32.55,32.56,1.5021,1.5019,0.0002,,499.7941,K1至K7,0.20695
,P15(前),32.51,32.51,1.3497,1.3497,0,0.1523,499.9464,,
