测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
,P28(前),47.2,47.2,1.1924,1.1927,-0.0003,0.26355,500.62525,,
,,-0.18,-0.077,0.2636,0.2635,0.0001,,,,
29,P28(后),47.91,47.91,1.4134,1.4133,1.00E-04,,500.62525,,
,P29(前),48.14,48.14,1.8635,1.8639,-0.0004,-0.45035,500.1749,,
,,-0.23,-0.307,-0.4501,-0.4506,0.0005,,,,
30,P29(后),46.52,46.52,1.2629,1.2625,0.0004,,500.1749,,
,P30(前),45.85,45.83,1.4381,1.4383,-0.0002,-0.1755,499.9994,,
,,0.68,0.373,-0.1752,-0.1758,0.0006,,,,
后视距总长,=,1102.375,,,,,,,,
前视距总长,=,1104.037,,,,,,,,
线路总长度,=,2206.412,,,,,,,,
累积视距差,=,0.373,,,,,,,,
累积高差,=,-0.0006,,,,,,,,
闭合差,=,-0.0006,,,,,,,,
