测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
1,B01(后),43.08,43.07,1.3492,1.3493,-0.0001,,500,K2至K5,-0.30105
,P01(前),43.34,43.34,1.2356,1.2355,0.0001,0.1137,500.1137,,
,,-0.265,-0.265,0.1136,0.1138,-0.0002,,,,
2,P01(后),42.01,42.01,1.4291,1.429,0.0001,,500.1137,,
,P02(前),41.86,41.85,1.3548,1.355,-0.0002,0.07415,500.18785,,
,,0.155,-0.11,0.0743,0.074,0.0003,,,,
3,P02(后),43.12,43.12,1.3887,1.3884,0.0003,,500.18785,,
,P03(前),42.92,42.91,1.4196,1.4199,-0.0003,-0.0312,500.15665,,
,,0.205,0.095,-0.0309,-0.0315,0.0006,,,,
4,P03(后),31.13,31.14,1.1906,1.1908,-0.0002,,500.15665,,
,P04(前),31.38,31.38,1.5661,1.5661,0,-0.3754,499.78125,,
,,-0.245,-0.15,-0.3755,-0.3753,-0.0002,,,,
5,P04(后),17.065,17.064,1.3688,1.3692,-0.0004,,499.78125,,
,P05(前),17.152,17.145,1.4125,1.4126,-0.0001,-0.04355,499.7377,,
,,-0.084,-0.234,-0.0437,-0.0434,-0.0003,,,,
6,P05(后),19.305,19.308,1.3114,1.3114,0,,499.7377,,
,P06(前),18.942,18.941,1.3502,1.3501,0.0001,-0.03875,499.69895,,
,,0.365,0.131,-0.0388,-0.0387,-0.0001,,,,
7,P06(后),46.12,46.12,1.1921,1.1922,-0.0001,,499.69895,K5至K3,-0.53855
,P07(前),46.24,46.24,1.4484,1.4484,0,-0.25625,499.4427,,
,,-0.12,0.011,-0.2563,-0.2562,-0.0001,,,,
8,P07(后),43.16,43.15,1.4629,1.4628,0.0001,,499.4427,,
,P08(前),43.39,43.39,1.4475,1.4474,0.0001,0.0154,499.4581,,
,,-0.235,-0.224,0.0154,0.0154,0,,,,
9,P08(后),33.36,33.36,1.3618,1.3618,0,,499.4581,,
,P09(前),33.03,33.03,1.4356,1.4355,0.0001,-0.07375,499.38435,,
,,0.33,0.106,-0.0738,-0.0737,-0.0001,,,,
10,P09(后),30.85,30.86,1.1952,1.195,0.0002,,499.38435,,
,P10(前),30.82,30.82,1.3586,1.3585,0.0001,-0.16345,499.2209,,
,,0.035,0.141,-0.1634,-0.1635,0.0001,,,,
11,P10(后),20.5,20.51,1.3183,1.318,0.0003,,499.2209,,
,P11(前),20.43,20.42,1.4186,1.4185,0.0001,-0.1004,499.1205,,
,,0.08,0.221,-0.1003,-0.1005,0.0002,,,,
12,P11(后),21.02,21.02,1.2636,1.2636,0,,499.1205,,
,P12(前),21.48,21.48,1.2236,1.2238,-0.0002,0.0399,499.1604,,
,,-0.46,-0.239,0.04,0.0398,0.0002,,,,
13,P12(后),42.64,42.65,1.6895,1.6892,0.0003,,499.1604,K3至K2,0.83925
,P13(前),42.21,42.2,1.2246,1.2248,-0.0002,0.46465,499.62505,,
,,0.44,0.201,0.4649,0.4644,0.0005,,,,
14,P13(后),42.78,42.78,1.5804,1.5801,0.0003,,499.62505,,
,P14(前),42.31,42.31,1.2056,1.2057,-0.0001,0.3746,499.99965,,
,,0.47,0.671,0.3748,0.3744,0.0004,,,,
15,P14(后),42.3,42.31,1.2059,1.2057,0.0002,,499.99965,K2至K3,-0.83905
,P15(前),42.78,42.79,1.5805,1.5804,0.0001,-0.37465,499.625,,
