测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
1,B01(后),49.05,49.04,1.3584,1.3583,0.0001,,500,K6至K4,-0.11985
,P01(前),49.11,49.1,1.5154,1.5159,-0.0005,-0.1573,499.8427,,
,,-0.06,-0.06,-0.157,-0.1576,0.0006,,,,
2,P01(后),43.36,43.36,1.4233,1.4227,0.0006,,499.8427,,
,P02(前),43.04,43.05,1.4302,1.4301,0.0001,-0.00715,499.83555,,
,,0.315,0.255,-0.0069,-0.0074,0.0005,,,,
3,P02(后),39.24,39.24,1.4912,1.491,0.0002,,499.83555,,
,P03(前),39.91,39.92,1.4358,1.4358,0,0.0553,499.89085,,
,,-0.675,-0.42,0.0554,0.0552,0.0002,,,,
4,P03(后),34.52,34.52,1.4027,1.4027,0,,499.89085,,
,P04(前),34.67,34.67,1.4809,1.4809,0,-0.0782,499.81265,,
,,-0.15,-0.57,-0.0782,-0.0782,0,,,,
5,P04(后),20.63,20.63,1.5471,1.547,0.0001,,499.81265,,
,P05(前),20.54,20.54,1.5608,1.5613,-0.0005,-0.014,499.79865,,
,,0.09,-0.48,-0.0137,-0.0143,0.0006,,,,
6,P05(后),24.31,24.31,1.5123,1.5126,-0.0003,,499.79865,,
,P06(前),24.57,24.57,1.4309,1.431,-0.0001,0.0815,499.88015,,
,,-0.26,-0.74,0.0814,0.0816,-0.0002,,,,
7,P06(后),40.64,40.62,1.527,1.5273,-0.0003,,499.88015,K4至K3,-0.6266
,P07(前),40.02,40.02,1.5529,1.5531,-0.0002,-0.02585,499.8543,,
,,0.61,-0.13,-0.0259,-0.0258,-0.0001,,,,
8,P07(后),41.19,41.19,1.4245,1.4246,-0.0001,,499.8543,,
,P08(前),41.63,41.63,1.6278,1.6276,0.0002,-0.20315,499.65115,,
,,-0.44,-0.57,-0.2033,-0.203,-0.0003,,,,
9,P08(后),41.03,41.03,1.3408,1.3407,0.0001,,499.65115,,
,P09(前),40.54,40.55,1.5474,1.5473,0.0001,-0.2066,499.44455,,
,,0.485,-0.085,-0.2066,-0.2066,0,,,,
10,P09(后),34.81,34.81,1.4311,1.4308,0.0003,,499.44455,,
,P10(前),34.95,34.94,1.4419,1.4416,0.0003,-0.0108,499.43375,,
,,-0.135,-0.22,-0.0108,-0.0108,0,,,,
11,P10(后),20.17,20.16,1.4109,1.4109,0,,499.43375,,
,P11(前),20.01,20.01,1.5079,1.5079,0,-0.097,499.33675,,
,,0.155,-0.065,-0.097,-0.097,0,,,,
12,P11(后),22.82,22.81,1.5059,1.506,-0.0001,,499.33675,,
,P12(前),23.01,23.01,1.5893,1.589,0.0003,-0.0832,499.25355,,
,,-0.195,-0.26,-0.0834,-0.083,-0.0004,,,,
13,P12(后),40.53,40.53,1.6914,1.6911,0.0003,,499.25355,K3至K6,0.7463
,P13(前),40.49,40.49,1.3418,1.3422,-0.0004,0.34925,499.6028,,
,,0.04,-0.22,0.3496,0.3489,0.0007,,,,
14,P13(后),29.37,29.37,1.5213,1.521,0.0003,,499.6028,,
,P14(前),29.66,29.64,1.5905,1.5905,0,-0.06935,499.53345,,
,,-0.28,-0.5,-0.0692,-0.0695,0.0003,,,,
15,P14(后),28.87,28.87,1.6306,1.6305,0.0001,,499.53345,,
,P15(前),28.78,28.78,1.4068,1.4066,0.0002,0.22385,499.7573,,
