测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,,0.385,0.345,0.1758,0.1762,-0.0004,,,,
16,P15(后),44.66,44.66,1.8877,1.8875,0.0002,,500.17655,,
,P16(前),44.79,44.78,1.4799,1.4797,0.0002,0.4078,500.58435,,
,,-0.125,0.22,0.4078,0.4078,0,,,,
17,P16(后),47.22,47.21,1.248,1.2479,0.0001,,500.58435,,
,P17(前),47.92,47.92,1.4693,1.4697,-0.0004,-0.22155,500.3628,,
,,-0.705,-0.485,-0.2213,-0.2218,0.0005,,,,
18,P17(后),37.14,37.14,1.5338,1.5332,0.0006,,500.3628,,
,P18(前),36.57,36.56,1.1705,1.1705,0,0.363,500.7258,,
,,0.575,0.09,0.3633,0.3627,0.0006,,,,
19,P18(后),26.64,26.63,1.4558,1.4559,-0.0001,,500.7258,,
,P19(前),26.19,26.19,1.6937,1.6939,-0.0002,-0.23795,500.48785,,
,,0.445,0.535,-0.2379,-0.238,0.0001,,,,
20,P19(后),32.17,32.17,1.283,1.283,0,,500.48785,,
,P20(前),32.28,32.26,1.5625,1.5622,0.0003,-0.27935,500.2085,,
,,-0.1,0.435,-0.2795,-0.2792,-0.0003,,,,
21,P20(后),40.64,40.63,1.7037,1.704,-0.0003,,500.2085,K3至K2,0.83945
,P21(前),40.88,40.88,1.2507,1.251,-0.0003,0.453,500.6615,,
,,-0.245,0.19,0.453,0.453,0,,,,
22,P21(后),44.05,44.05,1.5831,1.583,0.0001,,500.6615,,
,P22(前),44.39,44.39,1.1966,1.1966,0,0.38645,501.04795,,
,,-0.34,-0.15,0.3865,0.3864,0.0001,,,,
23,P22(后),25.02,25.03,1.1552,1.1551,0.0001,,501.04795,K2至K1,-1.047
,P23(前),24.36,24.37,1.5598,1.5597,0.0001,-0.4046,500.64335,,
,,0.66,0.51,-0.4046,-0.4046,0,,,,
24,P23(后),24.2,24.19,1.2496,1.2496,0,,500.64335,,
,P24(前),24.17,24.17,1.3496,1.3489,0.0007,-0.09965,500.5437,,
,,0.025,0.535,-0.1,-0.0993,-0.0007,,,,
25,P24(后),37.47,37.46,1.0974,1.0974,0,,500.5437,,
,P25(前),37.78,37.79,1.5148,1.5149,-0.0001,-0.41745,500.12625,,
,,-0.32,0.215,-0.4174,-0.4175,0.0001,,,,
26,P25(后),37.93,37.93,1.3591,1.3591,0,,500.12625,,
,P26(前),37.84,37.84,1.4845,1.4843,0.0002,-0.1253,500.00095,,
,,0.09,0.305,-0.1254,-0.1252,-0.0002,,,,
后视距总长,=,990.67,,,,,,,,
前视距总长,=,990.365,,,,,,,,
线路总长度,=,1981.035,,,,,,,,
累积视距差,=,0.305,,,,,,,,
累积高差,=,0.00095,,,,,,,,
闭合差,=,0.00095,,,,,,,,
