测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,后视,后视距1,后视距2,后尺读数1,后尺读数2,,,,,
,前视,前视距1,前视距2,前尺读数1,前尺读数2,,,,,
,中视,视距差,累积视距差,高差,高差,,,,,
1,B01(后),29.37,29.37,1.3282,1.3282,0,,500,K1至K2,1.0458
,P01(前),29.33,29.33,1.2525,1.2522,0.0003,0.07585,500.07585,,
,,0.04,0.04,0.0757,0.076,-0.0003,,,,
2,P01(后),34.18,34.17,1.4281,1.428,0.0001,,500.07585,,
,P02(前),34.48,34.47,1.2225,1.2222,0.0003,0.2057,500.28155,,
,,-0.3,-0.26,0.2056,0.2058,-0.0002,,,,
3,P02(后),32.58,32.58,1.4241,1.4241,0,,500.28155,,
,P03(前),32.34,32.34,1.0895,1.0894,0.0001,0.33465,500.6162,,
,,0.24,-0.02,0.3346,0.3347,-0.0001,,,,
4,P03(后),28.3,28.3,1.5132,1.5129,0.0003,,500.6162,,
,P04(前),28.16,28.16,1.0834,1.0835,-0.0001,0.4296,501.0458,,
,,0.14,0.12,0.4298,0.4294,0.0004,,,,
5,P04(后),42.42,42.43,1.0999,1.0999,0,,501.0458,K2至K3,-0.83915
,P05(前),42.05,42.05,1.4722,1.4719,0.0003,-0.37215,500.67365,,
,,0.375,0.495,-0.3723,-0.372,-0.0003,,,,
6,P05(后),42.44,42.45,1.1645,1.1644,0.0001,,500.67365,,
,P06(前),42.99,42.99,1.6316,1.6313,0.0003,-0.467,500.20665,,
,,-0.545,-0.05,-0.4671,-0.4669,-0.0002,,,,
7,P06(后),35.66,35.68,1.5034,1.5031,0.0003,,500.20665,K3至K1,-0.2061
,P07(前),35.32,35.33,1.1981,1.1981,0,0.30515,500.5118,,
,,0.345,0.295,0.3053,0.305,0.0003,,,,
8,P07(后),42.05,42.05,1.4043,1.4044,-0.0001,,500.5118,,
,P08(前),41.87,41.87,1.1673,1.1675,-0.0002,0.23695,500.74875,,
,,0.18,0.475,0.237,0.2369,0.0001,,,,
9,P08(后),42.65,42.67,1.4417,1.4417,0,,500.74875,,
,P09(前),42.44,42.43,1.357,1.3573,-0.0003,0.08455,500.8333,,
,,0.225,0.7,0.0847,0.0844,0.0003,,,,
10,P09(后),38.82,38.78,1.2981,1.298,0.0001,,500.8333,,
,P10(前),38.74,38.76,1.4853,1.4852,0.0001,-0.1872,500.6461,,
,,0.05,0.75,-0.1872,-0.1872,0,,,,
11,P10(后),38.46,38.47,1.3079,1.308,-0.0001,,500.6461,,
,P11(前),39.08,39.08,1.5856,1.5858,-0.0002,-0.27775,500.36835,,
,,-0.615,0.135,-0.2777,-0.2778,0.0001,,,,
12,P11(后),49.02,49.02,1.4623,1.462,0.0003,,500.36835,,
,P12(前),49.61,49.61,1.2353,1.2352,0.0001,0.2269,500.59525,,
,,-0.59,-0.455,0.227,0.2268,0.0002,,,,
13,P12(后),44.24,44.26,1.4389,1.4391,-0.0002,,500.59525,,
,P13(前),43.44,43.43,1.8579,1.858,-0.0001,-0.41895,500.1763,,
,,0.815,0.36,-0.419,-0.4189,-0.0001,,,,
14,P13(后),46.47,46.47,1.269,1.2688,0.0002,,500.1763,,
,P14(前),46.87,46.87,1.4445,1.4448,-0.0003,-0.17575,500.00055,,
,,-0.4,-0.04,-0.1755,-0.176,0.0005,,,,
15,P14(后),46.87,46.87,1.4447,1.445,-0.0003,,500.00055,K1至K3,0.20795
,P15(前),46.48,46.49,1.2689,1.2688,0.0001,0.176,500.17655,,
