C06,-7287.700211,23584.105371,34285.241577
C06,-11800.726419,23889.294153,32724.569533
C06,-15553.428942,26420.081564,28927.322676
C06,-17531.273909,30489.169672,23146.242294
C06,-17200.156995,34991.532500,15772.467237
C06,-14652.793918,38702.091973,7310.101672
C06,-10585.640273,40607.890868,-1658.006876
C06,-6111.130496,40184.356451,-10511.041095
C06,-2455.473708,37539.521893,-18634.519699
C06,-624.406770,33385.867845,-25464.601172
C06,-1128.707409,28846.996020,-30528.725228
C06,-3844.911142,25152.163640,-33479.243558
C06,-8049.131155,23302.645880,-34117.397593
C06,-12613.957814,23801.191980,-32405.978615
C06,-16313.799225,26517.737752,-28470.089525
C06,-18155.117780,30726.595551,-22586.456451
C06,-17642.387992,35303.518297,-15162.590815
C06,-14909.105105,39028.291248,-6707.714606
C06,-10680.130771,40911.144842,2202.275021
C06,-6076.777954,40456.047881,10963.378831
C06,-2317.349159,37791.570568,18983.198478
C06,-392.816176,33635.405059,25719.479626
C06,-803.362674,29102.419977,30715.375958
C06,-3425.348192,25407.079278,33629.505300
C07,-16579.647863,38005.604474,-8238.254549
C07,-13484.058315,40094.869432,-85.323507
C07,-9760.083686,40378.826981,8073.472263
C07,-6394.683124,38788.640394,15684.996739
C07,-4276.648069,35756.014023,22233.753365
C07,-3960.010549,32097.142950,27275.604092
C07,-5516.742250,28794.376005,30466.972179
C07,-8517.807531,26733.445256,31587.856965
C07,-12147.906661,26465.963613,30557.236314
C07,-15423.924851,28060.597398,27439.730845
C07,-17459.296190,31083.287215,22442.788810
C07,-17703.603792,34712.821181,15904.153827
C07,-16092.539880,37961.713426,8270.010467
C07,-13066.801441,39943.413873,64.938682
C07,-9453.717161,40113.484335,-8144.423518
C07,-6242.978173,38418.674585,-15789.418013
C07,-4317.310822,35312.564361,-22340.023917
C07,-4211.783269,31632.997704,-27342.871493
C07,-5967.784520,28374.705662,-30453.532841
C07,-9121.585624,26419.442293,-31460.542577
C07,-12830.214256,26297.442970,-30299.401852
C07,-16099.718626,28044.954884,-27055.758501
C07,-18053.291916,31195.818774,-21957.896696
C07,-18166.598396,34908.345497,-15359.495718
C08,323.570536,36050.500557,-21642.134151
C08,2231.527946,30643.588990,-28740.675480
C08,1167.595654,24995.725078,-33857.146233
C08,-2586.561212,20634.703421,-36643.430436
C08,-8021.681460,18739.960286,-36913.562394
C08,-13674.789698,19825.336409,-34655.092584
C08,-18024.151753,23602.458283,-30028.295743
C08,-19898.354665,29060.192601,-23353.725098
C08,-18789.883795,34737.450458,-15089.352109
C08,-14990.055923,39115.349206,-5799.081749
C08,-9510.247104,41023.693091,3885.188995
C08,-3811.117868,39953.626020,13305.565993
C08,587.830651,36193.555292,21821.675935
C08,2514.551883,30752.271451,28853.134748
C08,1458.501740,25089.433093,33918.426478
C08,-2291.575687,20724.712369,36667.767387
C08,-7723.743873,18829.573557,36907.748699
C08,-13373.637623,19911.092703,34615.904411
C08,-17718.262334,23673.525309,29943.866117
C08,-19587.285284,29096.236763,23208.457276
C08,-18480.447450,34708.331402,14870.928070
C08,-14704.213538,38986.520935,5505.482218
C08,-9289.485467,40768.414155,-4240.798811
C08,-3712.029543,39568.434915,-13693.697011
C09,2783.089301,25802.051247,33863.304697
C09,-1494.135673,24628.568702,34700.203157
C09,-5772.908710,25804.285686,33227.362208
C09,-8883.462498,29003.822861,29525.417525
C09,-9971.140659,33355.310692,23824.312055
C09,-8730.326874,37668.960148,16493.805815
C09,-5494.450378,40755.611292,8023.855147
C09,-1153.353317,41751.582718,-1005.393482
C09,3084.509015,40360.585378,-9963.058731
