Time,East(m),North(m),Up(m),ZTD(m),Mode,ModeName,Horizontal2D(m)
0.0,0.030876519794356298,-0.0005138495110833327,0.03763409423222393,0.0013230034781866,1,fix,0.03088079526066835
0.0003472222222222,0.027335497345958523,-0.0024747813101178525,0.026311960038354308,0.0076060409166217,1,fix,0.027447294177820408
0.0006944444444444,0.027782353532452814,-0.007950465098713635,0.032363928538984704,0.0048611979270138,1,fix,0.0288975615422488
0.0010416666666666,0.029210324958517615,-0.009492497340219123,0.017598785583356938,0.0084141070492962,1,fix,0.030714012924661346
0.0013888888888888,0.02937950124552399,-0.008632272310164418,0.0282649096410088,0.0042361608429074,1,fix,0.030621417646356234
0.0017361111111111,0.029533378204481025,-0.011533495846630444,0.01789862732682176,0.0055330403654832,1,fix,0.031705550848599946
0.0020833333333333,0.032153216056001535,-0.009859359079450866,0.012043882204056945,0.0046185392382533,1,fix,0.03363088259623088
0.0024305555555555,0.03179929740990536,-0.00813470333361096,0.06449836021854077,-0.3538989397141329,1,fix,0.03282329529601613
0.0027777777777777,0.031900776356336674,-0.007942432296221925,0.06592068786006694,-0.3599812182742279,1,fix,0.03287463707658349
0.003125,0.03214531597707654,-0.008179657761287205,0.06488147569940969,-0.3625563892989068,1,fix,0.03316968707054497
0.0034722222222222,0.031985046080781725,-0.007981731191391747,0.06767935982681988,-0.3618831853047968,5,float,0.032965909749336
0.0038194444444444,0.032025770495099234,-0.008177830862801196,0.06490046553314133,-0.3587346373222749,1,fix,0.03305339458248354
0.0041666666666666,0.032074922815623276,-0.008190619695539874,0.06536975140561276,-0.3550381831027184,1,fix,0.03310418288713914
0.0045138888888888,0.03169481041806755,-0.00808923443619735,0.062186946524865006,-0.3469520309037874,1,fix,0.03271080434964882
0.0048611111111111,0.03141986903542221,-0.008128529781213891,0.061750492238312436,-0.3373813802471816,1,fix,0.03245429350035469
0.0052083333333333,0.031301139860983956,-0.007490525302833721,0.058783134324672366,-0.3272049990275314,1,fix,0.03218492389161843
0.0055555555555555,0.031098262356692333,-0.008017077291890119,0.05926688847254594,-0.3151748970901138,1,fix,0.032115034639710535
0.0059027777777777,0.031216975045555644,-0.007826022917718908,0.05637396598856863,-0.2982132325692214,1,fix,0.03218301051336722
0.00625,0.031244094152714546,-0.007834140375116184,0.054871989595521205,-0.2837462424582395,1,fix,0.03221128955569331
