pickup_hour,order_count
0,122993
1,79484
2,52519
3,35213
4,28298
5,33084
6,68934
7,130119
8,170807
9,180831
10,185613
11,196319
12,208232
13,216758
14,232540
15,240011
16,235218
17,263698
18,276735
19,257168
20,248350
21,253357
22,235482
23,183389
