OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
16,0,15,16,0.141291873771000,Bayside,16,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42980.406900484348000,0.000871889446182,16,254,Queens,Bayside,Boro Zone,16,945,Queens,Bayside,Boro Zone
17,4,16,17,0.093522632948000,Bedford,17,Brooklyn,node/436183944,wlan,-3;-2,Nostrand Avenue,NYC Subway,New York City Transit Authority,station,station,179,Nostrand Av,,subway,yes,no,Q2104084,,en:Nostrand Avenue station (IND Fulton Street Line),node/436183944,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29992.918464303886000,0.000322957654799,17,3759,Brooklyn,Bedford,Boro Zone,17,6387,Brooklyn,Bedford,Boro Zone
18,4,17,18,0.069799549856900,Bedford Park,18,Bronx,node/592005305,,-2,Fordham Road,NYC Subway,New York City Transit Authority,station,station,213,Fordham Rd,,subway,yes,no,Q681005,,en:Fordham Road station (IND Concourse Line),node/592005305,,,,,24/7,D05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22565.339496119945000,0.000148850163948,18,865,Bronx,Bedford Park,Boro Zone,18,1322,Bronx,Bedford Park,Boro Zone
19,0,18,19,0.101824875452000,Bellerose,19,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32088.707039600165000,0.000546661094782,19,352,Queens,Bellerose,Boro Zone,19,706,Queens,Bellerose,Boro Zone
20,0,19,20,0.051440192436200,Belmont,20,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17117.054627676785000,0.000134512633032,20,461,Bronx,Belmont,Boro Zone,20,1154,Bronx,Belmont,Boro Zone
21,4,20,21,0.115973569062000,Bensonhurst East,21,Brooklyn,node/1149605538,no,2,25th Avenue,NYC Subway,New York City Transit Authority,station,station,69,25 Av,1916-07-29,subway,yes,no,Q2190097,Category:25th Avenue (BMT West End Line),en:25th Avenue station,node/1149605538,,,,,24/7,,,,,,,,,,Brooklyn,11214,NY,,,,,,,,,,,,,,,,,,,,,2024-10-09,,,,,,,,,33924.406823496829000,0.000380251345507,21,433,Brooklyn,Bensonhurst East,Boro Zone,21,941,Brooklyn,Bensonhurst East,Boro Zone
22,9,21,22,0.126170229196000,Bensonhurst West,22,Brooklyn,node/591991099,no,2,18th Avenue,NYC Subway,New York City Transit Authority,station,station,66,18 Av,1916-06-24,subway,yes,no,Q2134240,Category:18th Avenue (BMT West End Line),en:18th Avenue station (BMT West End Line),node/591991099,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37140.171573737032000,0.000472062684608,22,584,Brooklyn,Bensonhurst West,Boro Zone,22,1396,Brooklyn,Bensonhurst West,Boro Zone
23,0,22,23,0.290556028962000,Bloomfield/Emerson Hill,23,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94031.871488908073000,0.002195565762010,23,14,Staten Island,Bloomfield/Emerson Hill,Boro Zone,23,110,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,0,23,24,0.046999961928700,Bloomingdale,24,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180.641896592248000,0.000060723573775,24,11318,Manhattan,Bloomingdale,Yellow Zone,24,13172,Manhattan,Bloomingdale,Yellow Zone
25,4,24,25,0.047145819931900,Boerum Hill,25,Brooklyn,node/219726617,,-1,Hoyt Street,NYC Subway,New York City Transit Authority,station,station,336,Hoyt St,,subway,yes,no,Q2612287,,en:Hoyt Street station,node/219726617,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14857.451819255166000,0.000124168267356,25,4525,Brooklyn,Boerum Hill,Boro Zone,25,8055,Brooklyn,Boerum Hill,Boro Zone
