OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
57,0,56,57,0.019270504855700,Corona,57,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230.526631633770200,0.000018025980792,57,57,Queens,Corona,Boro Zone,57,120,Queens,Corona,Boro Zone
58,0,57,58,0.059855409485100,Country Club,58,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32165.100948373030000,0.000204980931361,58,44,Bronx,Country Club,Boro Zone,58,139,Bronx,Country Club,Boro Zone
59,0,58,59,0.037794807089300,Crotona Park,59,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11726.479829190592000,0.000062876523065,59,14,Bronx,Crotona Park,Boro Zone,59,43,Bronx,Crotona Park,Boro Zone
60,1,59,60,0.078648287822600,Crotona Park East,60,Bronx,node/3636957890,no,1,174th Street,NYC Subway,New York City Transit Authority,station,station,428,174 St,1904-11-26,subway,yes,no,Q1883056,Category:174th Street (IRT White Plains Road Line),en:174th Street station (IRT White Plains Road Line),node/3636957890,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24754.892209680245000,0.000161833284912,60,547,Bronx,Crotona Park East,Boro Zone,60,687,Bronx,Crotona Park East,Boro Zone
61,6,60,61,0.117310808097000,Crown Heights North,61,Brooklyn,node/436183943,,-1,Kingston鈥揟hroop Avenues,NYC Subway,New York City Transit Authority,station,station,180,Kingston鈥揟hroop Avs,,subway,yes,no,Q2613078,,en:Kingston鈥揟hroop Avenues station,node/436183943,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35635.457639792869000,0.000510772092295,61,6422,Brooklyn,Crown Heights North,Boro Zone,61,10150,Brooklyn,Crown Heights North,Boro Zone
62,3,61,62,0.082259335983800,Crown Heights South,62,Brooklyn,node/598730733,,-2,President Street鈥揗edgar Evers College,NYC Subway,New York City Transit Authority,station,station,353,President St鈥揗edgar Evers College,,subway,yes,no,Q2617505,,en:President Street鈥揗edgar Evers College station,node/598730733,,,,,24/7,,,,,,,,,,,,NY,,,,,,,President Street,,,,,,,,,,,,,,,,,,,,,,,24227.239754896142000,0.000158238169004,62,1879,Brooklyn,Crown Heights South,Boro Zone,62,3024,Brooklyn,Crown Heights South,Boro Zone
63,7,62,63,0.119100721883000,Cypress Hills,63,Brooklyn,node/597937439,,2,Broadway Junction,NYC Subway,New York City Transit Authority,station,station,132,,,subway,yes,no,Q2612913,,en:Broadway Junction station,node/597937439,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37134.926239656554000,0.000353190910142,63,956,Brooklyn,Cypress Hills,Boro Zone,63,1543,Brooklyn,Cypress Hills,Boro Zone
64,0,63,64,0.184451884740000,Douglaston,64,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63934.054993917387000,0.001057902846140,64,123,Queens,Douglaston,Boro Zone,64,598,Queens,Douglaston,Boro Zone
65,4,64,65,0.044607068365800,Downtown Brooklyn/MetroTech,65,Brooklyn,node/2013867806,,-3,Jay Street鈥揗etroTech,NYC Subway,New York City Transit Authority,station,station,25,Jay St鈥揗etroTech,,subway,yes,yes,Q2612734,,en:Jay Street鈥揗etroTech station,node/2013867806,,,,,24/7,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14031.926302452202000,0.000081803882541,65,5489,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,65,7640,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
66,1,65,66,0.054633459363400,DUMBO/Vinegar Hill,66,Brooklyn,node/219817432,,-2,York Street,NYC Subway,New York City Transit Authority,station,station,235,York St,,subway,yes,no,Q2236256,,en:York Street station (IND Sixth Avenue Line),node/219817432,,,,,24/7,F18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15299.002570282799000,0.000108378855948,66,5135,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,66,7013,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
67,0,66,67,0.099747078155100,Dyker Heights,67,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32066.605650588477000,0.000394282272487,67,374,Brooklyn,Dyker Heights,Boro Zone,67,911,Brooklyn,Dyker Heights,Boro Zone
68,1,67,68,0.049337379556900,East Chelsea,68,Manhattan,node/7613305938,wlan,-4,8th Avenue,NYC Subway,New York City Transit Authority,station,station,115,8 Av,1931-05-30,subway,yes,yes,Q2612959,Category:14th Street 鈥?8th Avenue (New York City Subway),en:14th Street/Eighth Avenue station,node/7613305938,,,,,24/7,L01,,,,no,,8氩?鞎犽箘雺?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16059.299749277956000,0.000111073378655,68,105373,Manhattan,East Chelsea,Yellow Zone,68,105088,Manhattan,East Chelsea,Yellow Zone
69,2,68,69,0.078989645048300,East Concourse/Concourse Village,69,Bronx,node/2013618450,wlan,-2,170th Street,NYC Subway,New York City Transit Authority,station,station,217,170 St,1933-07-01,subway,yes,no,Q1984831,Category:170th Street (IND Concourse Line),en:170th Street station (IND Concourse Line),node/2013618450,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25717.858174961908000,0.000199051603810,69,1520,Bronx,East Concourse/Concourse Village,Boro Zone,69,2460,Bronx,East Concourse/Concourse Village,Boro Zone
70,0,69,70,0.063840318336700,East Elmhurst,70,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19816.684766481409000,0.000195458476728,70,11031,Queens,East Elmhurst,Boro Zone,70,2110,Queens,East Elmhurst,Boro Zone
71,1,70,71,0.093169455182800,East Flatbush/Farragut,71,Brooklyn,node/5106263423,,-1,Newkirk Avenue,NYC Subway,New York City Transit Authority,station,station,358,Newkirk Av,,subway,yes,no,Q2618259,,en:Newkirk Avenue鈥揕ittle Haiti station,node/5106263423,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29969.877323369616000,0.000382572587364,71,1945,Brooklyn,East Flatbush/Farragut,Boro Zone,71,2299,Brooklyn,East Flatbush/Farragut,Boro Zone
72,0,71,72,0.095202069516600,East Flatbush/Remsen Village,72,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30957.853218691886000,0.000323532461947,72,2215,Brooklyn,East Flatbush/Remsen Village,Boro Zone,72,2371,Brooklyn,East Flatbush/Remsen Village,Boro Zone
73,0,72,73,0.085302020912900,East Flushing,73,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25843.365872537313000,0.000291799754395,73,133,Queens,East Flushing,Boro Zone,73,465,Queens,East Flushing,Boro Zone
74,2,73,74,0.110290936250000,East Harlem North,74,Manhattan,node/2012627848,wlan,-1,116th Street,NYC Subway,New York City Transit Authority,station,station,393,116 St,,subway,yes,no,Q2207557,,en:116th Street station (IRT Lexington Avenue Line),node/2012627848,,,,,24/7,,,no in-station transfer between platforms,,no,,116氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30629.342163963032000,0.000295038418204,74,14539,Manhattan,East Harlem North,Boro Zone,74,28307,Manhattan,East Harlem North,Boro Zone
75,4,74,75,0.087663899768500,East Harlem South,75,Manhattan,node/1261183482,wlan,-1,96th Street,NYC Subway,New York City Transit Authority,station,station,396,96 St,,subway,yes,no,Q2982555,,en:96th Street station (IRT Lexington Avenue Line),node/1261183482,,,,,24/7,,,,,no,,96氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18603.549017058369000,0.000240563927150,75,29855,Manhattan,East Harlem South,Boro Zone,75,46628,Manhattan,East Harlem South,Boro Zone
76,8,75,76,0.241203016269000,East New York,76,Brooklyn,node/591994312,,-2,Euclid Avenue,NYC Subway,New York City Transit Authority,station,station,188,Euclid Av,,subway,yes,yes,Q2447422,,en:Euclid Avenue station (IND Fulton Street Line),node/591994312,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88846.170616882577000,0.001266601432410,76,4283,Brooklyn,East New York,Boro Zone,76,5595,Brooklyn,East New York,Boro Zone
77,3,76,77,0.075461081444000,East New York/Pennsylvania Avenue,77,Brooklyn,node/597937409,,2,Livonia Avenue,NYC Subway,New York City Transit Authority,station,station,135,Livonia Av,,subway,yes,no,Q744055,,en:Livonia Avenue station,node/597937409,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24226.843072553158000,0.000191917981315,77,1161,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,77,1398,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
78,2,77,78,0.093594449580600,East Tremont,78,Bronx,node/3636918964,,2,East 180th Street,NYC Subway,New York City Transit Authority,station,station,426,E 180 St,,subway,yes,yes,Q585064,,en:East 180th Street station,node/3636918964,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29483.990998204546000,0.000191114419551,78,1001,Bronx,East Tremont,Boro Zone,78,1385,Bronx,East Tremont,Boro Zone
79,2,78,79,0.042624911314400,East Village,79,Manhattan,node/597928311,,-2,2nd Avenue,NYC Subway,New York City Transit Authority,station,station,232,2 Av,,subway,yes,no,Q2131874,,en:Second Avenue station,node/597928311,,,,,24/7,F14,,,,,,2氩?鞎犽箘雺?,,,,,,,,,,,,,,,,,,,,,,2nd Avenue鈥揕ower East Side,,,,,,,,,,,,,13539.085882505678000,0.000107893068218,79,104753,Manhattan,East Village,Yellow Zone,79,89552,Manhattan,East Village,Yellow Zone
80,3,79,80,0.117212621448000,East Williamsburg,80,Brooklyn,node/457747471,,-2,Broadway,NYC Subway,New York City Transit Authority,station,station,286,,,subway,yes,no,Q254416,,en:Broadway station (IND Crosstown Line),node/457747471,,,,,24/7,G30,http://mta.info/nyct/service/gline.htm,,2,,,,,,,,,,,,,,,,,,鐧捐€佹眹,鐧捐€佹眹,,,,,,,,,,,,,,,,,,,49202.434484669691000,0.000407322456220,80,5362,Brooklyn,East Williamsburg,Boro Zone,80,7632,Brooklyn,East Williamsburg,Boro Zone
81,1,80,81,0.197592771731000,Eastchester,81,Bronx,node/7450676595,,2,Eastchester鈥揇yre Avenue,NYC Subway,New York City Transit Authority,station,station,442,Eastchester鈥揇yre Av,,subway,yes,no,Q2012339,,en:Eastchester鈥揇yre Avenue station,node/7450676595,,,,,,,,,,,,,,,,10466,,,,,,,,Dyre Avenue,,,,,,,,3800,,,,,,,,,,,,,,,59169.142018181294000,0.000399566550190,81,610,Bronx,Eastchester,Boro Zone,81,800,Bronx,Eastchester,Boro Zone
82,4,81,82,0.119875649697000,Elmhurst,82,Queens,node/279155458,wlan,-3,Jackson Heights鈥揜oosevelt Avenue,NYC Subway,New York City Transit Authority,station,station,267,Jackson Hts鈥揜oosevelt Av,,subway,yes,yes,Q2396800,,en:Jackson Heights鈥揜oosevelt Avenue/74th Street station,node/279155458,,,,,24/7,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36705.014239006377000,0.000323601079994,82,1884,Queens,Elmhurst,Boro Zone,82,4346,Queens,Elmhurst,Boro Zone
83,0,82,83,0.105984933269000,Elmhurst/Maspeth,83,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32340.787834475617000,0.000217463718718,83,794,Queens,Elmhurst/Maspeth,Boro Zone,83,1323,Queens,Elmhurst/Maspeth,Boro Zone
84,3,83,84,0.233623987032000,Eltingville/Annadale/Prince's Bay,84,Staten Island,node/42969951,,,Annadale,Staten Island Railway,Staten Island Rapid Transit Operating Authority,station,station,ANS,,,subway,yes,no,Q4767761,,en:Annadale station,node/42969951,Q1273068,Q1146109,City of New York,Q60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71272.602641299687000,0.002073755720520,84,2,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,84,21,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
85,2,84,85,0.057475147356200,Erasmus,85,Brooklyn,node/5106263424,,-1,Beverly Road,NYC Subway,New York City Transit Authority,station,station,357,Beverly Rd,,subway,yes,no,Q2275154,,en:Beverly Road station,node/5106263424,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18756.817183189207000,0.000143637804933,85,1439,Brooklyn,Erasmus,Boro Zone,85,1865,Brooklyn,Erasmus,Boro Zone
86,1,85,86,0.134245282582000,Far Rockaway,86,Queens,node/1005286681,,1,Far Rockaway鈥揗ott Avenue,NYC Subway,New York City Transit Authority,station,station,209,Far Rockaway鈥揗ott Av,,subway,yes,yes,Q1949503,,en:Far Rockaway鈥揗ott Avenue station,node/1005286681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49124.875578507257000,0.000623278815249,86,887,Queens,Far Rockaway,Boro Zone,86,1317,Queens,Far Rockaway,Boro Zone
87,4,86,87,0.036901549611700,Financial District North,87,Manhattan,node/597928300,,-2,Wall Street,NYC Subway,New York City Transit Authority,station,station,333,Wall St,1918-07-01,subway,yes,no,Q2611956,,en:Wall Street station (IRT Broadway鈥揝eventh Avenue Line),node/597928300,,,,,24/7,,,,,,,鞗?鞀ろ姼毽姼,,,New York,10005,NY,,,,,,"The Wall Street station is a station on the IRT Broadway鈥揝eventh Avenue Line of the New York City Subway, located at the intersection of Wall Street and William Street in the Financial District of Manhattan. It is served by the 2 and 3 trains.",William Street,2024-01-14,,,,,,,,,,,,,,,,,,,,,,13460.113346039683000,0.000067205021069,87,30542,Manhattan,Financial District North,Yellow Zone,87,40747,Manhattan,Financial District North,Yellow Zone
88,4,87,88,0.035204603532700,Financial District South,88,Manhattan,node/410162266,,-1,Bowling Green,NYC Subway,New York City Transit Authority,station,station,414,,1905-07-10,subway,yes,yes,Q2612221,,en:Bowling Green station,node/410162266,,,,,24/7,,,,,,,氤茧攴鸽Π,,,New York,10004,NY,,,,,,"The Bowling Green station is a station on the IRT Lexington Avenue Line of the New York City Subway, located at Broadway and Battery Place (at Bowling Green), in the Financial District of Manhattan. It is served by the 4 and 5 trains.",Bowling Green,2023-11-28,,,,,,,,,,,,,,,,,,,,,,11408.344905882108000,0.000057299945541,88,15700,Manhattan,Financial District South,Yellow Zone,88,20815,Manhattan,Financial District South,Yellow Zone
89,6,88,89,0.122794569553000,Flatbush/Ditmas Park,89,Brooklyn,node/1123921372,no,2,18th Avenue,NYC Subway,New York City Transit Authority,station,station,245,18 Av,1919-03-16,subway,yes,no,Q2614969,Category:18th Avenue (IND Culver Line),en:18th Avenue station (IND Culver Line),node/1123921372,,,,,24/7,F30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38738.059072248216000,0.000447548142373,89,3618,Brooklyn,Flatbush/Ditmas Park,Boro Zone,89,5864,Brooklyn,Flatbush/Ditmas Park,Boro Zone
90,6,89,90,0.030759162081900,Flatiron,90,Manhattan,node/597937475,wlan,-2,14th Street,NYC Subway,New York City Transit Authority,station,station,229,14 St,,subway,yes,no,Q2983355,Category:14th Street (IND Sixth Avenue Line),en:14th Street/Sixth Avenue station,node/597937475,,,,,24/7,,,,,,,14氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9804.282413358820100,0.000055313247630,90,62220,Manhattan,Flatiron,Yellow Zone,90,58773,Manhattan,Flatiron,Yellow Zone
91,0,90,91,0.124996624585000,Flatlands,91,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40635.282164597098000,0.000537330013243,91,1933,Brooklyn,Flatlands,Boro Zone,91,2329,Brooklyn,Flatlands,Boro Zone
92,1,91,92,0.117830066799000,Flushing,92,Queens,node/4254159318,,-2,Flushing鈥揗ain Street,NYC Subway,New York City Transit Authority,station,station,447,Flushing鈥揗ain St,,subway,yes,yes,Q1910673,,en:Flushing鈥揗ain Street station (IRT Flushing Line),node/4254159318,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38411.581039741512000,0.000374946617289,92,1020,Queens,Flushing,Boro Zone,92,3623,Queens,Flushing,Boro Zone
93,2,92,93,0.170998027597000,Flushing Meadows-Corona Park,93,Queens,node/274331441,,2,Mets鈥揥illets Point,NYC Subway,New York City Transit Authority,station,station,448,,,subway,yes,limited,Q2555514,,en:Mets鈥揥illets Point station (IRT Flushing Line),node/274331441,,,,,24/7,,,,,,,,,accessible platform open only during games and events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62449.710563722409000,0.000594278183978,93,527,Queens,Flushing Meadows-Corona Park,Boro Zone,93,3016,Queens,Flushing Meadows-Corona Park,Boro Zone
94,2,93,94,0.049832608314700,Fordham South,94,Bronx,node/42736282,no,2,183rd Street,NYC Subway,New York City Transit Authority,station,station,383,183 St,1917-06-02,subway,yes,no,Q2126108,Category:183rd Street (IRT Jerome Avenue Line),en:183rd Street station (IRT Jerome Avenue Line),node/42736282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15878.272320640550000,0.000062581940739,94,401,Bronx,Fordham South,Boro Zone,94,573,Bronx,Fordham South,Boro Zone
95,3,94,95,0.113629605476000,Forest Hills,95,Queens,node/1012069552,wlan,-2,75th Avenue,NYC Subway,New York City Transit Authority,station,station,260,75 Av,1936,subway,yes,no,Q693299,,en:75th Avenue station,node/1012069552,,,,,24/7,F07,,no in-station transfer between platforms,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36182.037396329055000,0.000572770338030,95,2011,Queens,Forest Hills,Boro Zone,95,6250,Queens,Forest Hills,Boro Zone
96,0,95,96,0.185180248095000,Forest Park/Highland Park,96,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55902.686812655018000,0.000547566253402,96,44,Queens,Forest Park/Highland Park,Boro Zone,96,174,Queens,Forest Park/Highland Park,Boro Zone
97,5,96,97,0.062476014742300,Fort Greene,97,Brooklyn,node/219726610,,-2,DeKalb Avenue,NYC Subway,New York City Transit Authority,station,station,26,DeKalb Av,,subway,yes,yes,Q967555,,en:DeKalb Avenue station (BMT lines),node/219726610,,,,,24/7,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19829.739936781603000,0.000163303970435,97,5385,Brooklyn,Fort Greene,Boro Zone,97,7248,Brooklyn,Fort Greene,Boro Zone
98,0,97,98,0.121661018278000,Fresh Meadows,98,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37193.772092394916000,0.000485773020954,98,207,Queens,Fresh Meadows,Boro Zone,98,714,Queens,Fresh Meadows,Boro Zone
99,0,98,99,0.183371489300000,Freshkills Park,99,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57574.008891393205000,0.001210164638770,99,1,Staten Island,Freshkills Park,Boro Zone,99,6,Staten Island,Freshkills Park,Boro Zone
100,6,99,100,0.024813109034200,Garment District,100,Manhattan,node/597928316,,-2,42nd Street鈥揃ryant Park,NYC Subway,New York City Transit Authority,station,station,226,42 St鈥揃ryant Pk,1940,subway,yes,no,Q2982388,,en:42nd Street鈥揃ryant Park/Fifth Avenue station,node/597928316,Q7733,Q1146109,City of New York,Q60,24/7,D16,,,,,,42氩堦皜-敫岆澕鞚挫柛韸?韺岉伂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7803.322805592748400,0.000037470021029,100,53654,Manhattan,Garment District,Yellow Zone,100,47585,Manhattan,Garment District,Yellow Zone
101,0,100,101,0.101709836277000,Glen Oaks,101,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33600.565734327924000,0.000452342528877,101,226,Queens,Glen Oaks,Boro Zone,101,547,Queens,Glen Oaks,Boro Zone
102,0,101,102,0.136900484646000,Glendale,102,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41357.638358813965000,0.000296595466345,102,478,Queens,Glendale,Boro Zone,102,1191,Queens,Glendale,Boro Zone
105,0,104,105,0.077425339831400,Governor's Island/Ellis Island/Liberty Island,105,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18527.677512322312000,0.000368636392805,105,2,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,105,1,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
106,3,105,106,0.049211011979800,Gowanus,106,Brooklyn,node/316542438,,-1,Union Street,NYC Subway,New York City Transit Authority,station,station,28,Union St,,subway,yes,no,Q2059228,,en:Union Street station (BMT Fourth Avenue Line),node/316542438,,,,,24/7,R32,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15905.429854629392000,0.000113616826567,106,1155,Brooklyn,Gowanus,Boro Zone,106,2155,Brooklyn,Gowanus,Boro Zone
107,2,106,107,0.038041364590800,Gramercy,107,Manhattan,node/544355306,wlan,-1,28th Street,NYC Subway,New York City Transit Authority,station,station,404,28 St,1904-10-27,subway,yes,limited,Q939753,Category:28th Street (IRT Lexington Avenue Line),en:28th Street station (IRT Lexington Avenue Line),node/544355306,,,,,24/7,,,no in-station transfer between platforms,,,,28氩堦皜,,,New York,10016,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12091.546448726600000,0.000074611219267,107,78266,Manhattan,Gramercy,Yellow Zone,107,75900,Manhattan,Gramercy,Yellow Zone
108,4,107,108,0.111171412270000,Gravesend,108,Brooklyn,node/1683690624,,-1,86th Street,NYC Subway,New York City Transit Authority,station,station,79,86th St,1915,subway,yes,no,Q2486052,,en:86th Street station (BMT Sea Beach Line),node/1683690624,,,,,24/7,N10S,,,,,,,,,,,,,,,,,,,,,,,realtime,no,,,,,,,,2024-10-09,,,,,,,,,39925.248149199761000,0.000352866009465,108,470,Brooklyn,Gravesend,Boro Zone,108,719,Brooklyn,Gravesend,Boro Zone
109,2,108,109,0.178267819599000,Great Kills,109,Staten Island,node/42969919,,,Great Kills,Staten Island Railway,Staten Island Rapid Transit Operating Authority,station,station,GKS,,,subway,yes,yes,Q5599393,,en:Great Kills station,node/42969919,Q1273068,Q1146109,City of New York,Q60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66122.011937562187000,0.001169600761850,109,5,Staten Island,Great Kills,Boro Zone,109,35,Staten Island,Great Kills,Boro Zone
111,0,110,111,0.059930880065800,Green-Wood Cemetery,111,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780.539237063134000,0.000208683276503,111,27,Brooklyn,Green-Wood Cemetery,Boro Zone,111,41,Brooklyn,Green-Wood Cemetery,Boro Zone
112,2,111,112,0.107267875765000,Greenpoint,112,Brooklyn,node/622035832,,-2,Greenpoint Avenue,NYC Subway,New York City Transit Authority,station,station,283,Greenpoint Av,,subway,yes,no,Q1968287,,en:Greenpoint Avenue station,node/622035832,,,,,24/7,G26,http://mta.info/nyct/service/gline.htm,,2,,,,"袚褉懈薪锌芯泄薪褌-邪胁械薪褞 (谢懈薪懈褟 袣褉芯褋褋褌邪褍薪, 袗泄-褝薪-写懈)",,,,,Avenida Greenpoint (l铆nea Crosstown),Greenpoint Avenue (Crosstown Line),Greenpoint Avenue (stacja metra),,,,,,,,,,,,,,,,,,,,,,,,,,,30489.142113484813000,0.000462068671429,112,6152,Brooklyn,Greenpoint,Boro Zone,112,12984,Brooklyn,Greenpoint,Boro Zone
113,3,112,113,0.032745350566000,Greenwich Village North,113,Manhattan,node/597928329,,-1,8th Street鈥揘ew York University,NYC Subway,New York City Transit Authority,station,station,16,8 St鈥揘YU,,subway,yes,no,Q2271693,,en:Eighth Street鈥揘ew York University station,node/597928329,,,,,24/7,R21,,no in-station transfer between platforms,,,,8氩堦皜-雺挫殨 雽€頃欔祼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10420.919307211747000,0.000057963456700,113,59429,Manhattan,Greenwich Village North,Yellow Zone,113,53606,Manhattan,Greenwich Village North,Yellow Zone
114,3,113,114,0.031727034771100,Greenwich Village South,114,Manhattan,node/591995518,,-3,Broadway鈥揕afayette Street,NYC Subway,New York City Transit Authority,station,station,230,B鈥檞ay鈥揕afayette St,,subway,yes,yes,Q3498651,,en:Broadway鈥揕afayette Street/Bleecker Street station,node/591995518,,,,,24/7,D21,,,,,,敫岆霌滌洦鞚?霛柬帢鞚挫槇韸?鞀ろ姼毽姼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9837.327240062821100,0.000047020770495,114,60103,Manhattan,Greenwich Village South,Yellow Zone,114,42818,Manhattan,Greenwich Village South,Yellow Zone
115,0,114,115,0.116169413964000,Grymes Hill/Clifton,115,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37119.518073403677000,0.000373168991958,115,33,Staten Island,Grymes Hill/Clifton,Boro Zone,115,53,Staten Island,Grymes Hill/Clifton,Boro Zone
116,2,115,116,0.068116484426500,Hamilton Heights,116,Manhattan,node/4459312803,wlan,-1,145th Street,NYC Subway,New York City Transit Authority,station,station,304,145 St,1904-10-27,subway,yes,no,Q663865,Category:145th Street (IRT Broadway 鈥?Seventh Avenue Line),en:145th Street station (IRT Broadway鈥揝eventh Avenue Line),node/4459312803,,,,,24/7,,,no in-station transfer between platforms,,no,,145氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17412.573726178314000,0.000260415337217,116,7470,Manhattan,Hamilton Heights,Boro Zone,116,11731,Manhattan,Hamilton Heights,Boro Zone
