time_bin,sample_count,rms_tecu,mae_tecu,c0,c1_dlat,c2_dlon,c3_dlat2,c4_dlat_dlon,c5_dlon2
2026-01-27 00:00:00,4511,5.990263494352655,4.106062777031049,22.84468962397756,0.29154228329348686,2.9118078063546506,-0.4668086261781482,-0.5499292889519484,-0.18855710704617967
2026-01-27 01:00:00,5252,6.573375816160052,5.063030604331732,13.590130274535568,1.1870476506262966,2.199181617785655,-0.08570168441361825,0.13815894479810747,0.08965388672883345
2026-01-27 02:00:00,4929,5.760595515955109,4.465258752438667,11.28697321770392,1.0223572635717897,3.5764014037271825,0.027769855674403154,-0.35366080092904645,0.07524380706008071
2026-01-27 03:00:00,4373,5.482685818536429,4.192337321620159,10.260388611318843,-1.7546050962560658,1.6375004179214212,0.07989646428973884,0.023156709630238595,0.7418343645661857
2026-01-27 04:00:00,4294,3.8588688263230493,2.913761333216637,11.000241246398456,-2.869791197653026,-0.6227752228404894,0.22324927456699117,0.44164391356500965,0.33138547586743483
2026-01-27 05:00:00,3296,3.9592917339766434,3.1112027322258355,13.847078586126328,-3.761588751108325,-1.1293968048912386,0.503119018459858,0.31476603061567,-0.2152488417452585
2026-01-27 06:00:00,3639,4.726390460818949,3.552509596330332,12.641984167635101,-5.437391983967166,-0.5850588112255481,0.4575145032855952,0.10234664855951986,0.2809238900710511
2026-01-27 07:00:00,5115,5.836300514699405,4.167139701043758,20.980675386674267,-6.351985744379432,1.374509862068205,0.12691749728633628,-0.28587985430167717,0.5153369927157652
2026-01-27 08:00:00,5975,9.254715200787224,7.586731101471497,29.802751328894267,-6.484147935774133,0.5526578471404051,-0.7238049646857609,0.26216761622073853,0.9230615524242589
2026-01-27 09:00:00,4632,8.30896572933335,6.564847951779334,18.613565642850382,-3.1525549115555425,-3.3596562566260117,-0.6983593567395459,0.4820137767606253,1.448427661106018
2026-01-27 10:00:00,4383,6.727972327865028,5.52320670692702,13.447206605220796,-3.3101887143935125,-4.669637786018885,0.4371112077843229,0.5888710670626333,0.04766122861954458
2026-01-27 11:00:00,5754,7.7928516364783915,6.408046267803023,18.033613533339626,-4.597145837170557,-4.340053829522242,-0.16287070378575086,1.2045782223518569,0.5470932681657907
2026-01-27 12:00:00,4932,5.789642789841227,4.374984507048845,17.4828750674548,-4.988562771062878,-2.5233251187355745,0.6507056122305792,0.42051626695354793,-0.08375999504755871
2026-01-27 13:00:00,4510,5.023159159794767,3.6706460342147174,18.06381551393792,-4.51403708571578,-1.343597367381276,0.2548075109826047,0.4964129947685239,-0.2108222849195256
2026-01-27 14:00:00,4451,3.7709850353163534,2.9661721698676975,10.12224682140905,-3.6999710858695263,-0.10164737273617129,0.6774037296989484,-0.06531299375071278,-0.14178084573232974
2026-01-27 15:00:00,4632,4.209969360924061,3.1607627742049225,6.812101259284839,-2.0484250776894948,-0.7159840806807842,0.2442143878544255,0.28840952030276196,-0.15712862065261635
2026-01-27 16:00:00,4941,3.549694801547322,2.672720378491612,5.485596538569011,-0.3222489329998032,-0.06137191870258993,0.10155445767276217,0.00649127506256119,-0.19807728203430802
2026-01-27 17:00:00,4514,4.597433617863436,3.2428366130441337,6.916659106839499,-0.8100222152660373,0.8385392006311428,0.14644994330601357,-0.17609133138474437,-0.14834295199886693
2026-01-27 18:00:00,3311,5.850272057673761,4.455422591837599,7.974860894363664,-1.1307738459071284,1.6293003901922554,0.0002027307081061691,-0.3721364977630354,0.09138454283510467
2026-01-27 19:00:00,4962,3.610970228581372,2.666923608116218,6.706717647927731,-0.3623198335356518,-0.15335787663476466,-0.11480155352155075,0.037172051483621876,-0.0605555052965947
2026-01-27 20:00:00,5590,4.506331323614857,3.316913768652707,7.785932721269933,-0.3367999610589826,-0.0884697148705106,-0.07395055817351008,0.0500106972265341,-0.1610973716826215
2026-01-27 21:00:00,5046,5.480184892218174,4.034435360317486,8.152582328211947,-0.5250712350578494,0.21385442495456028,-0.15683984516287916,0.026644608228056095,-0.12350480689078008
2026-01-27 22:00:00,5228,4.703325579044582,3.464474486255035,8.630311769097506,-0.9044109456817494,0.9429668787484805,-0.2674220841979703,-0.12262839969166939,-0.07756842140752684
2026-01-27 23:00:00,4427,6.276098361772612,4.584703784988447,16.72899621397173,-0.9172782812894501,1.9873564548654765,-0.3138808500061899,-0.20521234425614007,-0.30526831541047394
