time,vtec_median,vtec_mean,nsat,station,station_lat_deg,station_lon_deg
2026-01-27 00:00:00,14.61305662199189,14.261750133619165,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:00:30,15.458827679669543,14.832133679138693,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:01:00,15.879034078449113,15.545654581328396,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:01:30,17.004863935097106,16.05816890345099,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:02:00,19.258032307398558,16.306567622007236,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:02:30,18.63148324001308,16.395011855027168,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:03:00,18.450791071615214,16.063205680740378,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:03:30,17.713472307686025,14.951736547933194,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:04:00,17.346160837183998,14.34197444625234,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:04:30,17.7197703693277,14.704540033702514,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:05:00,18.46370569051057,15.252860413060157,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:05:30,19.207737526375734,15.477046164595714,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:06:00,18.918388818022976,15.676685171689801,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:06:30,18.491191156924092,15.930783443594077,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:07:00,17.22479398630778,15.608462502269683,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:07:30,15.820597424337766,15.043375243837522,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:08:00,15.536569882834502,15.319056222167305,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:08:30,15.951011782420714,15.857140858537543,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:09:00,16.504145536200937,16.360384772026055,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:09:30,18.72854414342965,16.86579257357871,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:10:00,20.1134392849508,17.440167757197734,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:10:30,19.943744255965306,17.546846134840926,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:11:00,19.755256605529052,17.397005334703056,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:11:30,19.534022033302833,17.34596149147763,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:12:00,18.83248341319974,17.419782697297943,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:12:30,18.81614665193194,17.5883966465967,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:13:00,18.62570500654988,17.85024430708092,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:13:30,19.175665050470272,17.971169415599487,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:14:00,19.910038028061496,17.63193296972469,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:14:30,20.03905540433845,17.280931576866813,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:15:00,19.20210922766208,17.020232352920807,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:15:30,19.74651586787498,17.04844094194567,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:16:00,18.76981172929915,17.137308910194832,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:16:30,17.83675875178893,16.985063587107884,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:17:00,17.643302235025637,16.644445006871376,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:17:30,18.743329579587957,16.625038032942445,5,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:18:00,16.03098276756709,14.193610899936326,6,HKWS,22.434282365383602,114.33537737589215
2026-01-27 00:18:30,16.741373542051313,14.452375368575488,6,HKWS,22.434282365383602,114.33537737589215
