time,vtec_tecu,vtec_model,station
2026-01-27 00:00:00,18.388356250237127,19.25397736268503,HKCL
2026-01-27 00:10:00,20.655038100481207,19.811004861050684,HKCL
2026-01-27 00:20:00,22.79774508798512,20.30733045008617,HKCL
2026-01-27 00:30:00,24.943933222224093,20.74024565416569,HKCL
2026-01-27 00:40:00,24.21339726661722,21.002297119918797,HKCL
2026-01-27 00:50:00,23.60762406857109,20.58781926857872,HKCL
2026-01-27 01:00:00,24.88885884861258,14.593933187083795,HKCL
2026-01-27 01:10:00,23.48074010511821,16.294692203468628,HKCL
2026-01-27 01:20:00,22.10098864908871,17.626061267493164,HKCL
2026-01-27 01:30:00,22.58104846976042,18.844560558612145,HKCL
2026-01-27 01:40:00,23.749730781727354,20.223115468752553,HKCL
2026-01-27 01:50:00,24.16426587605243,21.785867696632906,HKCL
2026-01-27 02:00:00,25.940110265678236,21.003857152845928,HKCL
2026-01-27 02:10:00,21.461901668752574,17.200985445618002,HKCL
2026-01-27 02:20:00,24.422139488908996,18.607947577313226,HKCL
2026-01-27 02:30:00,23.325604350106303,20.100533622764395,HKCL
2026-01-27 02:40:00,25.067840052005124,21.700788497730283,HKCL
2026-01-27 02:50:00,24.72719909759455,17.329576009266976,HKCL
2026-01-27 03:00:00,25.63993718090738,10.592350692849132,HKCL
2026-01-27 03:10:00,25.20284168090018,10.3320340413655,HKCL
2026-01-27 03:20:00,23.603177300921303,12.342878824717772,HKCL
2026-01-27 03:30:00,22.633324727750633,15.44973556074261,HKCL
2026-01-27 03:40:00,20.741291953548107,19.39674142106198,HKCL
2026-01-27 03:50:00,15.390044405908235,15.839728503507382,HKCL
2026-01-27 04:00:00,14.982418968525927,10.80581690429663,HKCL
2026-01-27 04:10:00,14.467821426339206,12.401355669668284,HKCL
2026-01-27 04:20:00,12.644748792187833,7.137195107660383,HKCL
2026-01-27 04:30:00,9.436685567578863,7.854124950339228,HKCL
2026-01-27 04:40:00,9.1885927333932,9.465098404991613,HKCL
2026-01-27 04:50:00,4.707934691847498,12.045561333327065,HKCL
2026-01-27 05:00:00,4.471248384878038,6.521316424698074,HKCL
2026-01-27 05:20:00,0.0,-0.9284605941916784,HKCL
2026-01-27 05:30:00,0.0,0.5149079317932488,HKCL
2026-01-27 05:40:00,5.817446123750159,2.1708671574900382,HKCL
2026-01-27 05:50:00,9.8632728897689,3.689891344584732,HKCL
2026-01-27 06:00:00,12.810795846411636,6.10506595890832,HKCL
2026-01-27 06:10:00,15.762792093561586,7.2678890839236505,HKCL
2026-01-27 06:20:00,19.14466893285492,8.63566142695142,HKCL
2026-01-27 06:30:00,22.049245425780875,10.840370187246576,HKCL
2026-01-27 06:40:00,18.9325149999475,11.878913515720168,HKCL
2026-01-27 06:50:00,16.65262631287478,13.74081108235384,HKCL
2026-01-27 07:00:00,15.030703363753965,20.36464243524882,HKCL
2026-01-27 07:10:00,11.925183364737585,22.501820352732206,HKCL
2026-01-27 07:20:00,7.277020550986819,19.46386746173727,HKCL
2026-01-27 07:30:00,8.553004462447745,9.788436890145281,HKCL
2026-01-27 07:40:00,9.057859823384746,8.935188081547139,HKCL
