C01,-34302331.811,24485421.404,-421002.044
C01,-34300106.91599999,24477589.752,-784005.5499999999
C01,-34299719.945999995,24466798.268,-1093295.185
C01,-34302420.005,24454425.337,-1327645.5089999998
C01,-34308778.604,24442494.857,-1470976.808
C01,-34318445.526,24433224.915,-1513461.3059999999
C01,-34330146.899,24428503.097,-1452195.616
C01,-34341933.177999996,24429423.189,-1291393.878
C01,-34351618.17699999,24436004.285,-1042090.585
C01,-34357297.917,24447167.540999997,-721376.2980000001
C01,-34357814.64,24460979.281,-351221.10099999997
C01,-34353043.809,24475099.496999998,43032.123
C01,-34343927.494,24487320.687,434401.146
C01,-34332244.063,24496058.28,796106.739
C01,-34320173.852,24500667.106000002,1103399.351
C01,-34309774.535,24501505.11,1335246.9000000001
C01,-34302503.606,24499733.552,1475769.908
C01,-34298912.092,24496913.677,1515326.833
C01,-34298587.348,24494514.119,1451175.8890000002
C01,-34300355.14,24493467.154000003,1287668.067
C01,-34302680.79,24493897.842,1035957.1880000001
C01,-34304155.219,24495101.89,713245.149
C01,-34303928.82,24495778.645,341611.91500000004
C01,-34301970.977,24494453.688,-53491.754
C02,4428744.726,41934914.926,1731463.5969999998
C02,4451670.858,41944015.718,1271590.047
C02,4478544.888,41946817.145,724756.066
C02,4505161.451,41940841.026,128300.916
C02,4526519.818,41925702.513,-477000.005
C02,4538025.871,41903349.532,-1049705.651
C02,4536653.08,41877683.994,-1550541.377
C02,4521756.005,41853657.009,-1945100.1819999998
C02,4495318.431,41836070.952,-2206224.719
C02,4461564.164000001,41828400.37100001,-2315899.833
C02,4426024.2360000005,41831940.660000004,-2266517.36
C02,4394295.885000001,41845508.565,-2061418.6749999998
C02,4370809.636,41865773.472,-1714672.903
C02,4357918.454,41888130.958000004,-1250104.785
C02,4355536.614,41907885.368,-699641.356
C02,4361408.506,41921426.143999994,-101096.28
C02,4371918.887,41927085.762,504449.075
C02,4383212.21,41925454.899,1075481.1460000002
C02,4392308.6450000005,41919078.613,1572906.4330000002
C02,4397909.856000001,41911625.514,1962722.719
C02,4400676.619,41906764.287,2218327.778
C02,4402908.31,41907059.885000005,2322312.537
C02,4407720.075,41913194.81,2267623.565
C02,4417953.235,41923731.32,2058023.7689999999
C03,-14816486.643000001,39513695.087,272201.23
C03,-14792670.821,39520966.1,-100114.407
C03,-14769127.353,39522250.397999994,-465651.71900000004
C03,-14748691.626,39517603.787,-799422.272
C03,-14733740.738,39508094.998,-1078580.925
C03,-14725768.239,39495530.291,-1283985.5720000002
C03,-14725155.889,39482020.332,-1401512.6339999998
C03,-14731190.504,39469501.505,-1423036.84
C03,-14742312.923,39459332.809,-1347005.035
C03,-14756529.534,39452067.561000004,-1178560.267
C03,-14771878.116,39447452.118,-929203.498
C03,-14786828.368,39444643.231,-616012.8439999999
C03,-14800517.551,39442576.841000006,-260472.19
C03,-14812768.428,39440380.185,113010.205
C03,-14823897.733,39437707.566999994,478789.228
C03,-14834382.075,39434901.589,811756.948
C03,-14844488.139999999,39432930.596,1089077.01
C03,-14853984.039,39433116.134,1291756.531
C03,-14862025.542,39436724.153000005,1405945.565
C03,-14867260.973000001,39444533.734,1423875.324
C03,-14868135.864,39456506.023,1344373.586
C03,-14863319.84,39471651.612,1172926.899
C03,-14852139.857,39488142.717,921290.579
C03,-14834897.198,39503651.236999996,606677.4430000001
C04,-39565128.537999995,14437066.514,-1044146.0340000001
C04,-39565713.278000005,14419178.728999998,-1381047.8530000001
C04,-39570135.422,14400438.839,-1623185.983
C04,-39579336.695999995,14383623.083,-1753970.3190000001
C04,-39593033.379,14371793.336000001,-1764475.96
C04,-39609641.752000004,14367576.083,-1654041.932
C04,-39626558.603999995,14372496.073,-1430296.764
C04,-39640732.052,14386540.23,-1108615.223
C04,-39649378.853,14408070.949000001,-711049.5210000001
C04,-39650662.814,14434119.053000001,-264812.53400000004
C04,-39644156.572,14460988.807,199581.626
C04,-39630964.208,14485026.489,650393.895
C04,-39613470.34,14503361.788,1056815.1909999999
C04,-39594779.084,14514438.91,1391057.557
C04,-39577987.665,14518210.077,1630243.236
C04,-39565482.495,14515953.412999999,1757965.8930000002
C04,-39558438.755,14509776.173,1765418.32
C04,-39556649.684999995,14501946.342,1652008.362
C04,-39558723.04,14494239.599000001,1425418.0189999999
C04,-39562583.275,14487481.65,1101097.178
C04,-39566135.738,14481409.696,701221.797
C04,-39567905.848000005,14474886.496,253183.74399999998
C04,-39567474.100999996,14466400.299999999,-212286.717
C04,-39565585.333000004,14454701.706,-663237.171
C05,21917473.369,36027258.254,1570280.3260000001
C05,21924316.22,36017433.736999996,1335475.799
C05,21928586.963000003,36008445.606,1009301.184
C05,21928903.456,35999462.403,613983.2810000001
C05,21923576.12,35990387.614,176532.756
C05,21911180.357,35982055.644,-273088.571
C05,21891143.908,35976113.436,-704019.611
C05,21864175.501000002,35974612.959,-1086630.964
C05,21832400.119000003,35979423.074999996,-1394584.462
C05,21799143.015,35991622.34599999,-1606671.844
C05,21768397.391999997,36011043.077,-1708296.783
C05,21744094.668,36036099.832,-1692490.73
C05,21729349.698000003,36063962.805,-1560388.7689999999
C05,21725862.367999997,36091047.096,-1321133.8229999999
C05,21733619.794999998,36113705.632,-991221.4249999999
C05,21750968.634,36128958.313,-593338.303
C05,21775033.918,36135078.457,-154782.955
C05,21802374.139,36131893.114,294416.996
C05,21829704.92,36120727.228999995,723558.664
