time,vtec_median,vtec_mean,vtec_std,nsat,lst_hour,station,station_lat_deg,station_lon_deg
2026-01-27 00:00:00,21.21742006952948,19.818513093430056,15.030508771801607,7,16.146074001302377,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:00:15,21.710230334710666,20.619978754253818,15.244514996874017,7,16.150240667969044,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:00:30,20.202741845688664,19.802222674867604,14.48532524773321,7,16.15440733463571,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:00:45,21.520516309505588,20.30790544638514,14.077468062827759,7,16.158574001302377,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:01:00,20.56909516548535,19.555887546216347,13.9437796818007,7,16.162740667969043,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:01:15,20.907985535247207,19.637852097705665,13.955481941531772,7,16.16690733463571,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:01:30,21.36604914122986,19.788919078242806,14.259510751459032,7,16.171074001302376,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:01:45,20.839787915670584,18.984987363608745,13.712474858883075,7,16.175240667969042,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:02:00,20.482588562624898,19.624211198001554,14.240786214938836,7,16.17940733463571,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:02:15,20.08712468335485,19.769861259868183,14.01356528601719,7,16.183574001302375,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:02:30,19.58629026718235,19.60137145842968,13.926850582066706,7,16.187740667969045,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:02:45,20.022613835221485,19.66758837251113,14.691350354049195,7,16.191907334635708,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:03:00,21.15372958164064,19.780057314603102,14.62666111351354,7,16.196074001302378,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:03:15,21.458609216240397,20.00620396909102,14.54387369814906,7,16.20024066796904,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:03:30,21.128379983697656,19.49810021919086,13.713182690938218,7,16.20440733463571,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:03:45,19.628710431986512,19.09239307675029,13.43583890527625,7,16.208574001302377,COSO,35.98234320031499,-117.80888998046436
2026-01-27 00:04:00,20.464823952548286,19.345317873975887,13.26692738260588,7,16.212740667969044,COSO,35.98234320031499,-117.80888998046436
