time,vtec_median,vtec_mean,vtec_std,nsat,lst_hour,station,station_lat_deg,station_lon_deg
2026-01-27 00:00:30,5.808049681412513,4.165941778458804,2.6878089150469466,5,5.535632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:01:00,3.4416548440821515,3.1002783149848065,1.9063231041101079,5,5.543966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:01:30,5.047388552332961,4.257756155907181,3.6210351255475137,5,5.552299605167151,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:02:00,5.122021422415239,5.264533092404856,3.622449716645443,5,5.560632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:02:30,5.29852285030104,5.404958588708071,2.449310357486915,5,5.568966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:03:00,5.791792299932121,4.791766821349094,3.331229070368576,5,5.57729960516715,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:03:30,2.057648136396585,4.395392231848334,4.629382834000912,5,5.585632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:04:00,4.89767508318174,4.878996436659303,2.369450534054624,5,5.593966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:04:30,6.9726407808752064,6.37713596983846,2.425596402800468,5,5.6022996051671505,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:05:00,5.182971567547423,5.699032326328803,3.7246919110058285,5,5.610632938500483,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:05:30,5.784024831663907,5.793173480505496,4.034950957664494,5,5.618966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:06:00,6.959182146087185,7.744552322940396,1.842664384217386,5,5.62729960516715,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:06:30,6.0183946103178485,5.28238187251695,2.869587544097362,5,5.635632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:07:00,5.66383567854027,5.134555923021225,3.0071044575164994,5,5.643966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:07:30,6.313843688606962,5.121768896844289,3.6932272450461054,5,5.65229960516715,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:08:00,5.255037703353118,5.595310151181107,3.312636170629576,5,5.660632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:08:30,3.1006885944629716,4.055668321422674,2.813999502191364,5,5.668966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:09:00,3.1839231245625275,3.9596079491293765,3.645138156882139,5,5.677299605167151,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:09:30,3.5690267358308976,3.0661925520734155,3.3376838681445022,5,5.685632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:10:00,4.491461326078776,6.596989008582383,5.581640004165616,6,5.693966271833818,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:10:30,6.488417096665021,9.347305449010292,8.308401372316819,6,5.702299605167151,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:11:00,5.488634700444013,8.75491462154384,8.045971767861714,6,5.710632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:11:30,4.2385475007146995,5.431893292548877,5.1770934061958025,6,5.718966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:12:00,6.084073333807931,5.65256416525581,3.0022119111592476,6,5.7272996051671505,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:12:30,6.538822811263671,6.599521671991344,3.468070606289577,6,5.735632938500483,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:13:00,3.0946787434760497,4.472399395606964,2.9798210324227186,6,5.743966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:13:30,5.577093101171619,4.963741956825458,4.23930157706352,6,5.75229960516715,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:14:00,9.23953461761732,8.058678442172782,4.355635110899364,6,5.760632938500483,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:14:30,4.499711211583931,6.707633919707245,6.014696477493928,6,5.768966271833816,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:15:00,3.852486918310597,5.407056818429486,5.411507274520291,6,5.77729960516715,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:15:30,5.680191207869471,6.059115424380473,5.612927546153174,6,5.785632938500484,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:16:00,4.483884944831482,6.375249597171166,5.881612095386721,6,5.793966271833817,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:16:30,7.385619137980782,6.7848859273732955,4.397319335445421,6,5.802299605167151,NOVM,55.03050086969008,82.90949407750726
2026-01-27 00:17:00,6.308021757887067,7.602096285136242,6.254189456727064,6,5.810632938500484,NOVM,55.03050086969008,82.90949407750726
