G1,,-737740.038,126975.044,40.537
G2,,-737738.558,126972.951,40.256
G3,,-737738.351,126971.118,40.192
G4,,-737738.407,126971.013,40.19
G5,,-737738.386,126971.034,40.129
G6,,-737737.568,126973.186,40.127
G7,,-737736.787,126975.665,40.213
G8,,-737738.767,126976.338,40.209
G9,,-737767.701,126984.789,40.135
G10,,-737765.767,126988.061,40.081
G11,,-737771.63,126984.755,39.942
G12,,-737781.378,126987.446,40.018
G13,,-737783.94,126993.288,40.031
G14,,-737784.039,127002.186,40.339
G15,,-737775.3,127008.262,39.923
G16,,-737765.488,127005.756,39.82
G17,,-737759.192,126995.669,39.831
G18,,-737759.859,126984.84,40.048
G19,,-737769.877,126984.905,40.023
G20,,-737791.572,126909.743,40.105
G21,,-737790.015,126909.8,40.161
G22,,-737788.231,126902.443,40.284
G23,,-737790.651,126901.41,40.162
G24,,-737790.663,126901.399,40.174
G25,,-737788.467,126898.651,40.23
G26,,-737792.063,126891.349,40.166
G27,,-737799.978,126888.847,40.096
G28,,-737799.947,126888.862,40.079
G29,,-737812.039,126897.349,40.107
G30,,-737810.337,126905.058,40.106
G31,,-737804.693,126908.367,40.123
G32,,-737721.557,126883.095,40.512
G33,,-737718.521,126882.152,40.539
G34,,-737646.292,126857.41,40.629
G35,,-737647.991,126849.579,40.611
G36,,-737644.38,126844.847,41.136
G37,,-737638.48,126843.413,40.524
G38,,-737634.081,126847.072,40.638
G39,,-737632.338,126851.99,40.606
G40,,-737634.374,126857.053,40.65
G41,,-737639.641,126860.775,40.708
G42,,-737646.476,126859.21,40.672
G43,,-737640.371,126864.313,40.733
G44,,-737620.867,126936.293,40.66
G45,,-737619.136,126937.391,40.435
G46,,-737624.424,126942.522,40.562
G47,,-737617.678,126942.909,40.458
G48,,-737615.943,126940.563,40.622
G49,,-737610.681,126937.113,40.599
G50,,-737603.438,126940.191,40.462
G51,,-737593.503,126946.578,40.597
G52,,-737596.128,126951.48,40.559
G53,,-737610.966,126957.053,40.514
G54,,-737616.119,126953.26,40.459
G55,,-737618.758,126944.663,40.472
G56,,-737628.471,126932.424,40.684
G57,,-737630.068,126923.188,40.655
G58,,-737633.52,126901.914,40.678
G59,,-737640.291,126882.94,40.61
G60,,-737643.233,126867.985,40.696
G61,,-737659.017,126892.169,40.685
G62,,-737654.692,126904.397,40.609
G63,,-737655.012,126917.97,40.65
G64,,-737675.666,126916.96,40.717
G65,,-737684.739,126913.514,40.714
G66,,-737693.643,126901.743,40.672
G67,,-737708.124,126885.073,40.551
G68,,-737689.772,126880.566,40.503
G69,,-737669.33,126875.392,40.556
G70,,-737674,126895.165,40.666
G71,,-737690.609,126893.012,40.583
G72,,-737715.975,126906.997,40.577
G73,,-737731.637,126910.702,40.504
G74,,-737752.748,126919.738,40.464
G75,,-737776.857,126911.129,40.331
G76,,-737760.933,126902.109,40.387
G77,,-737741.223,126893.588,40.348
G78,,-737727.313,126888.375,40.505
G79,,-737734.172,126902.026,40.51
G80,,-737746.761,126906.026,40.461
G81,,-737771.049,126929.87,40.373
G82,,-737765.635,126956.016,40.313
G83,,-737752.229,126962.313,40.283
G84,,-737752.721,126953.923,40.319
G85,,-737741.985,126950.065,40.385
G86,,-737730.442,126949.131,40.509
G87,,-737731.066,126937.566,40.589
G88,,-737719.815,126937.9,40.612
G89,,-737715.946,126924.996,40.647
G90,,-737701.256,126923.347,40.665
G91,,-737692.037,126931.554,40.784
G92,,-737678.04,126932.043,40.859
G93,,-737661.413,126938.895,40.851
G94,,-737664.394,126948.784,40.542
G95,,-737681.969,126952.59,40.99
G96,,-737693.229,126952.532,40.531
G97,,-737699.046,126960.124,40.408
G98,,-737703.919,126951.424,40.52
G99,,-737714.175,126957.999,40.493
G100,,-737728.358,126970.273,40.12
