Observation Time,X,Y,Z
2025-2-24 3:12:0,-895091.3527405588,-126515.80765610162,-902840.6711214408
2025-2-24 3:12:0,-38932.72720031347,825483.5089420921,-163115.48801600188
2025-2-24 3:13:0,-38932.76285033394,825484.5742357357,-163115.5364042595
2025-2-24 3:13:0,-38932.7139697643,825483.5980895685,-163115.66389084607
2025-2-24 3:14:0,-38932.97082920652,825484.6831863739,-163115.8890766725
2025-2-24 3:14:0,-38932.637091367505,825485.6661891995,-163115.62158350646
2025-2-24 3:15:0,-38932.80410622712,825484.4641326203,-163115.801483199
2025-2-24 3:15:0,-38932.743291626684,825485.2210519372,-163115.3892787844
2025-2-24 3:16:0,-38932.54247679841,825487.1790019444,-163114.81546798348
2025-2-24 3:16:0,-38932.70233737584,825485.971758716,-163114.75983398408
2025-2-24 3:17:0,-38932.722514784895,825485.0770151878,-163115.31348004937
2025-2-24 3:17:0,-38932.51447545644,825482.8410223771,-163115.73166479915
2025-2-24 3:18:0,-38932.67123151105,825485.8705024563,-163115.93697547168
2025-2-24 3:18:0,-38932.957036211155,825487.7758967795,-163115.2783202231
2025-2-24 3:19:0,-38932.83594342414,825487.3413743286,-163115.38193289936
2025-2-24 3:19:0,-38932.74557463173,825487.3969610522,-163115.53719830513
2025-2-24 3:20:0,-38932.82800724823,825486.5327616364,-163115.19140841067
2025-2-24 3:20:0,-38932.46383105125,825484.0131383503,-163115.18979895115
2025-2-24 3:21:0,-38932.72583693359,825483.4846724265,-163115.46080425382
2025-2-24 3:21:0,-38932.68578642327,825482.2000333762,-163115.2353151068
2025-2-24 3:22:0,-38932.80496881064,825483.948363309,-163115.62658260018
2025-2-24 3:22:0,-38932.8078219248,825484.7805341997,-163115.03181719035
2025-2-24 3:23:0,-38932.648068058304,825487.1470868851,-163115.273703672
2025-2-24 3:23:0,-38932.990993647836,825486.3705631786,-163115.78234310448
2025-2-24 3:24:0,-38932.98476221878,825488.2295450161,-163116.49043744802
2025-2-24 3:24:0,-38932.650207937695,825485.4686597867,-163115.54472722858
2025-2-24 3:25:0,-38932.801849148236,825487.2564065198,-163116.46204202622
2025-2-24 3:25:0,-38932.40900882613,825481.9412806605,-163114.60719337314
2025-2-24 3:26:0,-38932.893895397894,825484.5110268893,-163115.41278590262
2025-2-24 3:26:0,-38932.62020816933,825485.56977837,-163115.26401780546
2025-2-24 3:27:0,-38932.77940893825,825482.9496119714,-163114.73335969448
2025-2-24 3:27:0,481874.2646116307,-13992689.455926927,4154562.8105607927
2025-2-24 3:28:0,742697.8461802453,-21413723.362423643,6316883.303946242
2025-2-24 3:28:0,873529.5739864614,-25136198.885288022,7401526.93956615
2025-2-24 3:29:0,939366.036813098,-27009388.969880305,7947332.037214845
2025-2-24 3:29:0,972704.1144775357,-27957935.463354282,8223717.386511169
2025-2-24 3:30:0,989793.1147493562,-28444160.57227194,8365392.009677634
2025-2-24 3:30:0,998758.0658636326,-28699233.342688482,8439714.212275274
2025-2-24 3:31:0,1003660.8803022085,-28838720.720988367,8480358.374722376
2025-2-24 3:31:0,1006532.3929534545,-28920419.91180346,8504163.494565286
2025-2-24 3:32:0,1008387.8611240955,-28973223.302573975,8519548.34788917
2025-2-24 3:32:0,1009736.1217997028,-29011574.78775067,8530723.879169665
2025-2-24 3:33:0,1434043.4348219493,2704788.261328137,12131892.503611334
2025-2-24 3:33:0,1011796.575095973,-29070207.88553342,8547808.16196011
2025-2-24 3:34:0,1012700.069024886,-29095910.267417368,8555297.235615864
2025-2-24 3:34:0,1296911.978153022,-7865841.419741306,10967422.611345783
2025-2-24 3:35:0,1227759.957812502,-13141781.362415887,10380316.517818786
2025-2-24 3:35:0,1193661.3079686677,-15787383.857591007,10090729.956933089
2025-2-24 3:36:0,1177088.7094794437,-17117816.190046825,9949900.153589271
