date,doy,formal_3d_mm,n_used_epochs,median_nsat_stable,score
2026-01-20,20,41.214422722970006,259.0,8.0,8.855498579846966
2026-01-19,19,39.722862098654616,282.0,7.0,8.054591032330285
2026-01-21,21,39.45487826761774,273.0,6.0,7.019317687234069
2026-01-16,16,96.44144077865944,109.0,4.0,1.892217368351501
