#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 02 01 30 999 99.0 99.0  1.04  4.55  4.07 111 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 02 00 999 99.0 99.0  1.05  4.76  4.04  92 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 02 30 999 99.0 99.0  1.03  4.55  4.08  98 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 03 00 999 99.0 99.0  1.08  4.55  4.06  97 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 03 30 999 99.0 99.0  1.08  4.55  4.06 101 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 04 00 999 99.0 99.0  1.25  4.55  4.18 101 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 04 30 999 99.0 99.0  1.29  5.26  4.21  88 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 05 00 999 99.0 99.0  1.38  5.00  4.31 101 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 05 30 999 99.0 99.0  1.29  5.26  4.18  94 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 06 00 999 99.0 99.0  1.31  5.26  4.22  99 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 02 06 30 999 99.0 99.0  1.35  5.56  4.29  85 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 02 07 00 999 99.0 99.0  1.32  5.26  4.24  97 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 02 07 30 999 99.0 99.0  1.35  5.26  4.28  95 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 08 00 999 99.0 99.0  1.34  5.56  4.32  83 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 08 30 999 99.0 99.0  1.37  5.88  4.33  78 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 09 00 999 99.0 99.0  1.46  5.26  4.44 107 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 09 30 999 99.0 99.0  1.44  5.56  4.42  95 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 10 00 999 99.0 99.0  1.51  5.26  4.40 105 9999.0 999.0  24.5 999.0 99.0 99.00
