C06,2.6485135,0.2020988,0.9443663,3.6300000e-05,9.0000000e-07,2.8000000e-06
C06,2.5682412,0.1366622,0.6827367,2.1800000e-05,6.0000000e-07,2.1000000e-06
C06,2.4178459,0.1228665,0.4242365,1.5500000e-05,5.0000000e-07,1.5000000e-06
C06,2.4503139,0.1035207,0.3013615,1.4000000e-05,3.0000000e-07,1.3000000e-06
C06,2.4213804,0.2444497,0.4538525,1.4100000e-05,7.0000000e-07,2.9000000e-06
C06,2.6863602,0.407055,0.6426873,1.8300000e-05,1.1000000e-06,8.8000000e-06
C06,3.3111677,0.8683138,0.321907,3.1300000e-05,2.1000000e-06,1.9400000e-05
C06,3.2746066,1.1673479,0.3257115,5.3600000e-05,2.9000000e-06,3.1000000e-06
C06,2.8467665,1.3243778,0.4488983,1.1590000e-04,3.5000000e-06,2.4000000e-06
C06,2.4923461,1.3443831,0.4860727,3.9920000e-04,4.0000000e-06,1.9000000e-06
C06,2.1014052,1.2923594,0.4834969,1.8620000e-04,4.5000000e-06,1.6000000e-06
C06,1.701399,1.0409984,0.5337234,4.4300000e-05,4.1000000e-06,1.6000000e-06
C06,1.5981482,0.7172676,0.5106554,1.9900000e-05,3.1000000e-06,1.5000000e-06
C06,1.6185504,0.2927911,0.4460661,1.2800000e-05,1.2000000e-06,1.4000000e-06
C06,1.8024729,0.0408964,0.3319485,1.1000000e-05,2.0000000e-07,1.2000000e-06
C06,2.256383,0.0904275,0.1803554,1.2400000e-05,3.0000000e-07,8.0000000e-07
C06,2.5976057,0.1698169,0.4644866,1.4700000e-05,5.0000000e-07,3.1000000e-06
C06,2.7229448,0.0631787,0.7669399,1.8300000e-05,2.0000000e-07,1.1400000e-05
C06,2.524029,0.0056816,0.6821621,2.3600000e-05,0.0000000e+00,3.1000000e-05
C06,2.6535773,0.3406297,0.5455005,4.3700000e-05,8.0000000e-07,5.0000000e-06
C06,2.8235621,0.5408813,0.5488145,1.2180000e-04,1.4000000e-06,2.9000000e-06
C06,2.6813322,0.9591599,0.7276254,6.8260000e-04,2.9000000e-06,2.8000000e-06
C06,2.6121372,0.9228019,0.7766579,3.2520000e-04,3.2000000e-06,2.5000000e-06
C06,2.6331189,0.7937607,0.8015772,7.6900000e-05,3.1000000e-06,2.4000000e-06
C07,0.1589439,1.2187791,0.7120809,1.0000000e-06,3.2000000e-06,8.6000000e-06
C07,0.0481738,1.1488441,0.5536578,4.0000000e-07,2.9000000e-06,6.4890000e-04
C07,0.6644262,1.0589958,0.1658998,6.8000000e-06,2.6000000e-06,2.1000000e-06
C07,0.6718408,1.1446526,0.0814561,1.0500000e-05,3.0000000e-06,5.0000000e-07
C07,0.7110051,1.1684468,0.3473779,1.6600000e-05,3.3000000e-06,1.6000000e-06
C07,0.6493996,1.2650473,0.506466,1.6400000e-05,3.9000000e-06,1.9000000e-06
C07,0.7322844,1.2496706,0.6524368,1.3300000e-05,4.3000000e-06,2.1000000e-06
C07,0.672569,1.3180004,0.6167749,7.9000000e-06,4.9000000e-06,2.0000000e-06
C07,0.6596755,1.2715705,0.5566183,5.4000000e-06,4.8000000e-06,1.8000000e-06
C07,0.7092741,1.2521994,0.3991321,4.6000000e-06,4.5000000e-06,1.5000000e-06
C07,0.8675221,1.0982184,0.2566166,5.0000000e-06,3.5000000e-06,1.1000000e-06
C07,1.1529125,0.9306109,0.0454691,6.5000000e-06,2.7000000e-06,3.0000000e-07
C07,1.4197957,0.8201091,0.1397773,8.8000000e-06,2.2000000e-06,1.7000000e-06
C07,1.5945053,0.822957,0.1675258,1.2200000e-05,2.1000000e-06,2.5800000e-04
C07,1.5866923,0.9111742,0.0887867,1.6800000e-05,2.3000000e-06,1.1000000e-06
C07,1.3564795,1.1799727,0.1339924,2.1700000e-05,3.1000000e-06,8.0000000e-07
C07,1.058772,1.4091845,0.2763437,2.4500000e-05,4.0000000e-06,1.2000000e-06
C07,0.7107383,1.6180024,0.2987297,1.6900000e-05,5.1000000e-06,1.1000000e-06
C07,0.3034779,1.7904134,0.1803624,5.1000000e-06,6.3000000e-06,6.0000000e-07
C07,0.045578,1.8101946,0.0177681,5.0000000e-07,6.9000000e-06,1.0000000e-07
C07,0.1825066,1.7325724,0.1194283,1.4000000e-06,6.6000000e-06,4.0000000e-07
C07,0.6654832,1.6898381,0.3361967,4.1000000e-06,6.0000000e-06,1.2000000e-06
C07,0.8263437,1.5614562,0.6075387,4.6000000e-06,5.0000000e-06,2.8000000e-06
C07,0.7653939,1.5186594,0.8067283,4.2000000e-06,4.4000000e-06,5.3000000e-06
C08,1.8121268,1.892922,0.0063169,5.6000000e-04,5.3000000e-06,0.0000000e+00
C08,1.9843304,1.5856322,0.4286417,8.8900000e-05,5.2000000e-06,1.5000000e-06
C08,1.9726611,1.3403914,0.8350407,1.6900000e-04,5.4000000e-06,2.5000000e-06
C08,1.7994147,1.0893729,1.281494,6.9600000e-05,5.3000000e-06,3.5000000e-06
C08,1.3276634,0.9535282,1.6240104,1.6600000e-05,5.1000000e-06,4.4000000e-06
C08,0.8687527,1.0142423,1.7797289,6.4000000e-06,5.1000000e-06,5.1000000e-06
C08,0.5107845,1.1466793,1.740095,2.8000000e-06,4.9000000e-06,5.8000000e-06
C08,0.0004867,1.2566304,1.3408023,0.0000000e+00,4.3000000e-06,5.7000000e-06
C08,0.0890713,1.4148723,0.8531821,5.0000000e-07,4.1000000e-06,5.7000000e-06
C08,0.0285828,1.488769,0.5069874,2.0000000e-07,3.8000000e-06,8.7000000e-06
C08,0.1795083,1.4842649,0.2808058,1.9000000e-06,3.6000000e-06,7.2000000e-06
C08,0.2356229,1.4287173,0.0956233,6.2000000e-06,3.6000000e-06,7.0000000e-07
C08,0.2743994,1.5113866,0.1576163,4.6700000e-05,4.2000000e-06,7.0000000e-07
C08,0.310848,1.6032816,0.1150992,1.2400000e-05,5.2000000e-06,4.0000000e-07
C08,0.3044926,1.7274707,0.1111877,2.0900000e-05,6.9000000e-06,3.0000000e-07
C08,0.1533428,1.7822961,0.3447158,6.7000000e-06,8.6000000e-06,9.0000000e-07
C08,0.0892642,1.7086614,0.1636658,1.2000000e-06,9.1000000e-06,4.0000000e-07
C08,0.2484844,1.860576,0.0719524,1.9000000e-06,9.3000000e-06,2.0000000e-07
C08,0.575426,1.9465915,0.0386584,3.2000000e-06,8.2000000e-06,1.0000000e-07
C08,1.0689723,1.9404324,0.1861704,5.5000000e-06,6.7000000e-06,8.0000000e-07
C08,1.4256917,1.761668,0.3644178,7.7000000e-06,5.1000000e-06,2.5000000e-06
C08,1.3766184,1.5315484,0.4027063,9.4000000e-06,3.9000000e-06,7.3000000e-06
C08,1.3074199,1.3647692,0.2673813,1.4100000e-05,3.3000000e-06,6.3000000e-06
C08,1.3268652,1.3168773,0.0096686,3.5700000e-05,3.3000000e-06,1.0000000e-07
C09,1.8433877,0.9892823,0.8207657,6.6200000e-05,3.8000000e-06,2.4000000e-06
C09,1.6439936,1.0479845,0.6791924,1.1000000e-04,4.3000000e-06,2.0000000e-06
C09,1.5483472,1.0493859,0.483093,2.6800000e-05,4.1000000e-06,1.5000000e-06
C09,1.608784,1.0124275,0.2978686,1.8100000e-05,3.5000000e-06,1.0000000e-06
C09,1.6773749,1.0460244,0.2548845,1.6800000e-05,3.1000000e-06,1.1000000e-06
C09,1.8059051,1.2332389,0.3510989,2.0700000e-05,3.3000000e-06,2.1000000e-06
C09,2.1044801,1.557303,0.2635215,3.8300000e-05,3.8000000e-06,3.3000000e-06
C09,2.3770584,1.7536415,0.1024985,2.0610000e-04,4.2000000e-06,1.0200000e-05
C09,2.062071,1.9587802,0.5456225,6.6900000e-05,4.9000000e-06,5.5000000e-06
C09,1.7058589,1.8804105,0.7974148,2.8300000e-05,5.1000000e-06,4.4000000e-06
C09,1.5850006,1.7213746,0.8605598,2.3300000e-05,5.3000000e-06,3.4000000e-06
C09,1.2982356,1.5350128,0.8602936,2.5000000e-05,5.5000000e-06,2.8000000e-06
C09,1.0494722,1.2657891,0.8296389,6.7800000e-05,5.1000000e-06,2.5000000e-06
C09,0.9544189,0.9240326,0.7991974,3.0300000e-05,3.8000000e-06,2.4000000e-06
C09,1.1120327,0.5678383,0.6770583,1.4500000e-05,2.2000000e-06,2.1000000e-06
C09,1.2577936,0.3183136,0.4926608,1.1700000e-05,1.1000000e-06,1.7000000e-06
C09,1.4286197,0.2712485,0.2259444,1.2200000e-05,8.0000000e-07,1.0000000e-06
C09,1.750386,0.2389858,0.0127664,1.7200000e-05,6.0000000e-07,1.0000000e-07
C09,1.8264841,0.3440653,0.2675625,2.7700000e-05,8.0000000e-07,4.3000000e-06
C09,1.8887126,0.3274723,0.2683554,9.7100000e-05,8.0000000e-07,1.0200000e-05
C09,2.0120505,0.6247354,0.2347292,7.7600000e-05,1.5000000e-06,2.1000000e-06
C09,2.0444534,0.8855308,0.3476088,3.5000000e-05,2.4000000e-06,1.8000000e-06
C09,1.8515093,1.1302523,0.2950996,2.6500000e-05,3.4000000e-06,1.1000000e-06
C09,1.738109,1.1722871,0.4381598,3.0100000e-05,4.1000000e-06,1.4000000e-06
C10,0.549681,1.4486009,1.1154267,5.1000000e-06,3.8000000e-06,8.0000000e-06
C10,0.4694949,1.3865332,1.0877808,5.9000000e-06,3.4000000e-06,1.7700000e-05
C10,0.1024757,1.5714543,0.7625235,2.4000000e-06,3.7000000e-06,3.7100000e-05
C10,0.3036606,1.6047314,0.2671282,5.3400000e-05,3.9000000e-06,2.6000000e-06
C10,0.2678121,1.6437683,0.097586,1.2100000e-05,4.2000000e-06,6.0000000e-07
C10,0.2821535,1.5628932,0.4118545,8.4000000e-06,4.4000000e-06,1.7000000e-06
C10,0.2124407,1.5445924,0.608472,8.2000000e-06,4.9000000e-06,2.1000000e-06
C10,0.1770465,1.5275128,0.6552067,1.0250000e-04,5.3000000e-06,2.1000000e-06
C10,0.3791633,1.4743966,0.7507856,1.1700000e-05,5.3000000e-06,2.4000000e-06
C10,0.6640776,1.5093871,0.5973811,9.9000000e-06,5.2000000e-06,2.0000000e-06
C10,0.9122372,1.4528001,0.4210892,9.8000000e-06,4.6000000e-06,1.6000000e-06
C10,1.0787497,1.4075918,0.1746444,1.0500000e-05,4.0000000e-06,8.0000000e-07
C10,1.3492408,1.402394,0.0636783,1.4300000e-05,3.7000000e-06,4.0000000e-07
C10,1.4248488,1.4741857,0.2218198,2.0700000e-05,3.6000000e-06,3.3000000e-06
